,Player,Team,Age,Less than 5ft._FGM,Less than 5ft._FGA,Less than 5ft._FG%,5-9 ft._FGM,5-9 ft._FGA,5-9 ft._FG%,10-14 ft._FGM,10-14 ft._FGA,10-14 ft._FG%,15-19 ft._FGM,15-19 ft._FGA,15-19 ft._FG%,20-24 ft._FGM,20-24 ft._FGA,20-24 ft._FG%,25-29 ft._FGM,25-29 ft._FGA,25-29 ft._FG%
0,A.J. Lawson,DAL,22,2.2,2.8,78.6,0.6,1.0,55.6,0.8,1.4,54.5,0.3,0.4,66.7,0.4,1.7,26.7,0.6,1.8,33.3
1,AJ Green,MIL,23,4.0,6.1,66.4,1.0,2.3,43.8,1.0,2.0,46.5,0.7,1.5,44.4,0.6,1.9,32.4,1.8,4.8,36.7
2,AJ Griffin,ATL,19,8.8,13.8,63.4,1.6,3.8,42.2,1.4,3.4,40.4,0.7,1.8,41.5,2.5,6.3,39.5,2.7,8.7,31.4
3,Aaron Gordon,DEN,27,12.7,19.0,66.7,2.6,6.7,39.0,1.9,4.4,44.0,1.3,3.3,40.5,3.1,8.6,36.8,4.3,12.8,34.0
4,Aaron Holiday,ATL,26,6.7,10.4,64.9,1.0,2.6,38.3,0.8,2.2,36.2,0.6,1.5,40.3,1.6,4.1,39.6,2.1,6.1,33.9
5,Aaron Nesmith,IND,23,9.4,15.2,61.5,2.1,4.9,43.5,1.9,3.9,49.0,1.3,2.9,43.0,3.0,7.0,42.2,3.8,10.0,37.6
6,Aaron Wiggins,OKC,24,7.9,12.5,63.3,1.7,4.0,41.0,0.9,2.1,41.5,0.8,2.0,41.0,2.3,5.8,39.8,2.8,8.1,35.0
7,Admiral Schofield,ORL,25,4.6,6.6,69.1,0.9,2.2,42.1,0.8,1.3,56.3,0.7,1.5,43.2,1.6,4.0,40.4,2.5,6.9,36.8
8,Al Horford,BOS,36,11.6,18.0,64.4,2.8,7.3,38.6,2.2,5.4,41.5,2.4,4.7,50.5,2.8,7.2,39.0,5.0,15.3,33.1
9,Alec Burks,DET,31,9.9,14.8,67.2,2.0,5.0,40.2,1.2,2.4,49.1,0.9,2.2,39.4,2.4,6.3,38.4,2.9,8.7,33.1
10,Aleksej Pokusevski,OKC,21,9.1,14.9,61.2,2.1,4.5,47.1,1.0,2.7,37.3,0.9,2.1,41.3,3.2,7.6,42.2,3.7,9.4,39.5
11,Alex Caruso,CHI,28,8.7,13.3,65.6,1.6,4.2,37.8,1.4,3.2,43.3,1.0,2.4,42.1,2.6,7.1,37.5,4.0,11.4,35.1
12,Alex Len,SAC,29,1.6,2.5,63.6,0.2,0.8,28.6,0.1,0.7,16.7,0.0,1.0,0.0,0.6,1.2,53.8,0.5,1.9,23.8
13,Alize Johnson,SAS,26,2.3,6.3,36.0,0.8,1.8,42.9,0.0,0.3,0.0,0.3,1.3,25.0,1.0,2.7,37.5,1.5,3.3,46.2
14,Alondes Williams,BKN,23,3.0,5.0,60.0,1.0,1.0,100,1.0,1.0,100,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0
15,Alperen Sengun,HOU,20,10.8,16.1,67.3,2.4,5.3,44.8,1.7,3.9,44.5,1.3,3.2,40.5,2.9,8.0,36.4,6.2,15.5,40.2
16,Amir Coffey,LAC,25,6.5,11.1,58.5,1.4,3.5,39.3,1.1,2.1,49.3,0.9,1.7,54.5,1.3,3.7,35.4,2.9,7.9,36.0
17,Andre Drummond,CHI,29,4.7,7.2,65.4,1.5,3.0,49.6,0.6,1.6,38.8,0.5,1.3,40.7,1.2,3.8,32.3,2.1,6.1,34.5
18,Andre Iguodala,GSW,39,4.0,7.3,54.5,2.7,4.3,61.5,1.7,3.3,50.0,0.7,3.3,20.0,1.0,2.3,42.9,1.0,5.3,18.8
19,Andrew Nembhard,IND,23,10.4,17.8,58.2,2.5,5.6,45.4,2.0,4.4,46.2,1.4,3.1,44.4,2.6,7.4,35.3,4.7,11.5,40.8
20,Andrew Wiggins,GSW,27,10.7,16.3,65.6,4.7,10.4,45.6,1.8,5.2,35.5,1.9,4.0,46.9,3.1,8.6,36.4,5.4,14.9,36.1
21,Anfernee Simons,POR,23,15.6,24.0,64.8,2.9,6.7,43.5,1.9,4.8,39.6,1.9,4.3,44.0,3.4,9.3,36.2,5.5,15.1,36.7
22,Anthony Davis,LAL,29,13.2,20.2,65.3,2.8,6.6,42.2,2.8,6.5,43.5,2.5,5.2,47.4,3.3,9.0,37.0,5.3,16.3,32.3
23,Anthony Edwards,MIN,21,14.7,23.4,63.0,2.9,6.8,42.3,2.5,5.6,44.1,1.3,3.5,35.9,4.3,11.7,36.8,5.4,14.8,36.5
24,Anthony Gill,WAS,30,3.9,6.2,63.3,1.3,3.0,42.2,0.6,1.0,60.0,0.6,1.6,38.0,0.8,2.3,36.4,1.7,4.7,36.8
25,Anthony Lamb,GSW,25,6.2,9.0,68.3,2.9,6.2,46.2,1.1,2.6,41.4,1.0,2.4,43.2,2.2,5.3,42.2,3.3,9.3,35.2
26,Austin Reaves,LAL,24,10.9,17.5,62.7,2.8,6.3,45.3,2.3,4.9,46.1,2.0,4.4,44.8,2.9,7.1,41.0,4.3,14.2,30.5
27,Austin Rivers,MIN,30,9.3,14.0,66.3,1.9,4.5,41.0,1.8,3.6,49.4,0.7,1.9,37.2,2.7,7.5,35.6,3.1,7.7,40.1
28,Ayo Dosunmu,CHI,23,11.8,17.8,66.6,2.2,5.7,38.7,1.4,3.5,39.4,1.2,2.9,41.4,2.9,8.4,34.6,4.7,12.9,36.2
29,Bam Adebayo,MIA,25,11.7,17.5,66.4,3.4,7.0,48.5,2.2,5.5,40.1,1.4,3.4,40.2,3.8,9.8,38.8,5.5,16.4,33.8
30,Ben Simmons,BKN,26,10.7,18.1,59.2,2.3,6.0,38.7,1.6,4.0,39.0,1.0,2.9,34.5,3.0,7.9,38.2,4.0,11.5,34.7
31,Bennedict Mathurin,IND,20,12.2,19.8,61.7,2.2,5.1,42.8,1.6,3.7,43.3,1.2,2.9,42.5,2.8,7.4,37.0,4.3,12.0,35.4
32,Bismack Biyombo,PHX,30,4.9,8.8,56.1,1.2,3.4,35.1,1.0,2.5,39.6,0.8,1.9,43.0,1.4,3.4,41.7,2.0,6.0,34.1
33,Blake Griffin,BOS,33,4.2,6.7,62.5,1.4,3.0,47.2,0.8,2.1,40.0,1.9,3.0,63.8,1.1,2.9,37.1,2.3,6.0,37.2
34,Blake Wesley,SAS,19,6.3,10.0,63.1,1.3,2.4,54.8,1.2,2.5,50.0,0.8,1.5,52.6,1.1,3.6,30.2,1.5,4.0,36.5
35,Boban Marjanovic,HOU,34,1.3,1.6,81.5,0.3,0.8,30.8,0.5,0.7,63.6,0.2,0.5,50.0,0.4,1.2,35.7,0.8,2.8,27.7
36,Bobby Portis,MIL,28,9.7,15.7,61.8,2.3,5.4,42.1,2.6,6.0,42.4,1.8,4.2,43.4,1.9,6.0,31.2,4.7,12.8,36.4
37,Bogdan Bogdanovic,ATL,30,13.4,20.6,64.9,2.0,5.0,40.4,1.6,4.3,36.7,1.8,3.5,52.3,3.8,10.0,38.4,4.1,12.7,32.5
38,Bojan Bogdanovic,DET,33,15.0,22.3,67.4,2.9,6.6,44.0,1.8,4.4,40.3,1.4,3.2,44.3,3.6,8.9,40.4,4.8,13.4,36.0
39,Bol Bol,ORL,23,9.4,13.3,71.0,1.6,4.1,39.3,1.4,3.2,42.3,1.0,2.2,47.0,3.0,7.5,39.5,4.0,12.2,33.2
40,Bones Hyland,LAC,22,8.6,12.1,71.4,1.6,4.1,40.4,0.8,2.1,38.8,1.0,2.0,50.0,2.2,5.7,38.1,3.3,8.8,37.5
41,Bradley Beal,WAS,29,12.7,19.4,65.4,3.1,8.8,35.3,2.3,5.4,43.5,1.7,4.1,40.7,2.4,7.1,34.2,5.7,15.4,36.8
42,Brandon Boston Jr.,LAC,21,5.0,7.7,65.4,1.4,3.2,43.1,0.8,1.6,51.6,0.8,2.1,39.4,1.2,3.4,35.1,2.4,5.5,43.8
43,Brandon Clarke,MEM,26,7.3,12.4,58.8,1.6,4.1,38.2,0.9,2.5,34.6,0.9,1.8,50.0,2.4,6.0,39.4,3.4,10.0,33.7
44,Brandon Ingram,NOP,25,11.7,17.6,66.2,3.4,7.4,45.4,1.8,4.2,41.9,1.5,3.5,41.0,3.4,9.1,36.8,5.7,15.3,37.2
45,Braxton Key,DET,25,1.3,1.3,100.0,0.5,0.5,100,0.0,1.0,0.0,-,-,-,0.7,1.3,50.0,0.7,3.3,20.0
46,Brook Lopez,MIL,34,9.8,16.4,59.5,2.9,6.8,42.4,3.4,7.1,48.1,2.3,5.8,40.2,2.3,7.2,32.1,5.2,14.6,35.8
47,Bruce Brown,DEN,26,12.3,17.9,68.4,2.4,6.4,36.9,1.6,3.7,43.3,1.4,3.1,45.4,2.9,8.2,35.8,4.2,12.1,34.6
48,Bruno Fernando,ATL,24,3.7,6.0,62.7,0.9,2.7,32.1,0.9,2.0,47.2,0.7,1.5,43.2,1.2,3.0,39.8,2.5,6.7,36.5
49,Bryce McGowens,CHA,20,4.9,9.0,54.9,2.0,3.8,53.3,1.0,2.5,42.6,0.8,1.4,58.1,2.1,4.1,50.6,3.2,8.4,38.1
50,Bryn Forbes,MIN,29,4.4,7.2,61.5,0.8,1.8,44.4,0.7,1.3,50.0,0.4,1.0,40.0,1.4,4.0,35.4,1.9,4.7,40.7
51,Buddy Boeheim,DET,23,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,1.0,0.0
52,Buddy Hield,IND,30,13.1,21.6,60.7,2.8,6.2,44.6,2.4,5.3,46.4,1.5,3.5,43.3,3.4,8.9,38.8,5.0,13.8,36.0
53,CJ McCollum,NOP,31,14.4,21.1,68.4,3.2,7.5,43.2,2.1,5.0,42.4,1.5,3.8,38.7,3.9,10.1,38.7,5.0,16.2,31.0
54,Cade Cunningham,DET,21,16.0,24.6,65.1,3.3,6.8,47.6,2.3,5.9,39.4,1.8,3.2,57.9,2.6,8.5,30.4,5.6,14.8,37.6
55,Caleb Houstan,ORL,20,7.0,10.0,69.7,1.2,2.7,43.7,1.0,2.2,46.2,0.6,1.5,42.2,1.7,4.6,37.0,2.9,8.1,35.8
56,Caleb Martin,MIA,27,10.6,15.6,68.2,3.1,6.3,48.7,2.0,4.5,44.8,1.4,3.2,42.1,3.3,8.1,40.1,4.6,14.1,32.6
57,Cam Reddish,POR,23,8.6,13.3,64.9,1.3,4.4,29.3,1.7,3.3,51.4,0.9,1.9,45.0,3.0,7.6,39.4,3.5,10.0,34.9
58,Cam Thomas,BKN,21,6.2,10.4,60.0,1.5,3.6,40.9,1.0,2.5,40.0,0.5,1.6,31.7,2.1,5.2,40.1,2.4,7.2,33.5
59,Cameron Johnson,BKN,26,9.1,15.8,57.7,1.6,5.5,28.3,2.1,4.3,47.4,1.2,2.9,39.6,3.1,7.8,39.0,3.0,9.8,30.5
60,Cameron Payne,PHX,28,10.1,15.6,65.0,2.0,4.9,41.3,1.7,3.5,48.5,1.0,2.9,34.1,2.1,5.5,38.7,3.3,9.1,36.1
61,Caris LeVert,CLE,28,11.2,18.1,62.2,2.9,6.5,44.1,1.9,4.7,39.4,1.3,3.2,42.3,3.0,7.6,38.8,4.2,12.0,35.4
62,Carlik Jones,CHI,25,0.0,1.0,0.0,-,-,-,0.0,0.0,0.0,-,-,-,-,-,-,1.0,1.0,100
63,Cedi Osman,CLE,27,7.9,12.6,62.5,1.8,4.6,39.2,1.4,3.4,41.5,0.9,2.3,38.4,1.8,4.6,38.1,2.9,8.2,34.8
64,Charles Bassey,SAS,22,5.8,9.2,62.7,1.1,2.1,51.0,0.6,1.7,36.8,0.8,1.9,43.6,1.4,4.2,34.0,2.6,6.6,39.2
65,Chima Moneke,SAC,27,1.5,1.5,100.0,0.5,0.5,100,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,33.3,2.0,5.0,40.0
66,Chimezie Metu,SAC,25,4.6,7.5,61.6,1.1,2.6,44.8,0.5,1.5,34.5,0.6,1.6,38.5,1.4,3.2,42.9,1.6,4.5,34.7
67,Chris Boucher,TOR,30,7.6,11.8,64.4,1.7,3.7,46.9,1.5,2.7,54.7,0.7,1.8,40.7,2.3,6.0,38.5,3.1,8.5,36.7
68,Chris Duarte,IND,25,8.2,12.6,64.9,1.5,3.4,44.2,1.2,2.9,40.6,1.0,2.3,43.6,2.0,5.4,37.4,3.3,8.6,38.5
69,Chris Paul,PHX,37,11.3,18.3,62.0,2.2,6.7,33.2,2.4,5.2,46.9,1.7,3.6,47.0,3.6,8.6,42.1,4.5,13.6,33.5
70,Chris Silva,DAL,26,1.0,1.0,100.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0
71,Christian Braun,DEN,21,6.8,9.9,69.1,1.7,3.9,42.4,0.8,1.8,46.9,0.6,1.5,41.6,1.5,4.3,35.2,1.9,6.2,31.4
72,Christian Koloko,TOR,22,4.6,8.0,58.1,1.1,2.5,45.5,1.1,2.2,49.5,0.7,1.4,47.6,1.8,4.7,37.6,1.8,5.8,30.8
73,Christian Wood,DAL,27,10.3,16.6,62.1,2.5,5.8,43.4,2.0,3.9,50.6,1.5,3.3,45.1,3.5,8.3,42.3,3.5,10.7,32.4
74,Chuma Okeke,ORL,24,10.0,14.8,67.7,1.5,3.9,38.6,0.9,2.3,38.1,0.8,1.8,46.9,2.6,6.3,41.6,3.7,11.4,32.0
75,Clint Capela,ATL,28,11.2,17.6,63.7,2.2,5.1,42.6,2.7,5.5,48.7,1.8,3.9,46.2,2.4,7.5,32.6,4.2,11.1,38.3
76,Coby White,CHI,22,8.5,13.0,64.9,1.9,4.1,45.2,1.1,2.9,38.4,0.9,2.2,41.9,2.3,6.5,34.8,3.7,10.6,34.4
77,Cody Martin,CHA,27,9.5,14.8,64.0,1.3,3.5,38.1,1.1,2.3,50.0,1.3,2.3,57.1,2.3,5.0,45.7,3.0,10.4,28.8
78,Cole Anthony,ORL,22,9.2,13.3,69.2,1.7,4.4,38.0,1.8,3.8,46.6,1.2,2.8,43.5,3.1,8.0,39.2,3.9,12.3,31.8
79,Cole Swider,LAL,23,2.8,4.6,60.9,0.4,1.2,33.3,0.8,1.3,60.0,0.8,1.0,80.0,1.0,2.0,50.0,1.5,4.0,37.5
