,Player,Team,Age,Less than 5ft._FGM,Less than 5ft._FGA,Less than 5ft._FG%,5-9 ft._FGM,5-9 ft._FGA,5-9 ft._FG%,10-14 ft._FGM,10-14 ft._FGA,10-14 ft._FG%,15-19 ft._FGM,15-19 ft._FGA,15-19 ft._FG%,20-24 ft._FGM,20-24 ft._FGA,20-24 ft._FG%,25-29 ft._FGM,25-29 ft._FGA,25-29 ft._FG%
0,A.J. Lawson,DAL,22,3.0,3.5,84.6,0.6,1.1,54.5,0.7,1.2,54.5,0.3,0.5,50.0,0.4,1.6,25.0,0.8,2.3,36.0
1,AJ Green,MIL,23,4.0,6.1,66.4,1.0,2.3,43.8,1.0,2.0,46.5,0.7,1.5,44.4,0.6,1.9,32.4,1.8,4.8,36.7
2,AJ Griffin,ATL,19,8.7,13.7,63.4,1.5,3.7,41.7,1.3,3.3,40.8,0.8,1.8,42.4,2.5,6.4,39.5,2.7,8.6,31.7
3,Aaron Gordon,DEN,27,12.7,19.0,66.7,2.6,6.7,39.0,1.9,4.4,44.0,1.3,3.3,40.5,3.1,8.6,36.8,4.3,12.8,34.0
4,Aaron Holiday,ATL,26,6.6,10.2,64.9,1.0,2.6,38.0,0.8,2.2,36.8,0.6,1.4,40.3,1.6,4.1,40.2,2.1,6.1,33.7
5,Aaron Nesmith,IND,23,9.4,15.3,61.1,2.1,4.8,43.9,1.9,4.0,48.6,1.3,2.9,43.6,3.0,7.0,42.4,3.9,10.3,38.0
6,Aaron Wiggins,OKC,24,7.7,12.2,63.4,1.6,3.9,41.2,0.9,2.2,40.4,0.8,1.9,40.5,2.2,5.6,39.5,2.8,8.1,35.0
7,Admiral Schofield,ORL,25,4.6,6.6,69.1,0.9,2.2,42.1,0.8,1.3,56.3,0.7,1.5,43.2,1.6,4.0,40.4,2.5,6.9,36.8
8,Al Horford,BOS,36,11.5,17.8,64.5,2.8,7.2,38.3,2.3,5.4,41.8,2.4,4.6,51.0,2.8,7.2,39.4,5.0,15.2,33.1
9,Alec Burks,DET,31,9.9,14.7,67.3,2.0,4.9,40.3,1.1,2.3,49.1,0.9,2.2,40.0,2.4,6.2,38.3,3.0,8.9,34.1
10,Aleksej Pokusevski,OKC,21,9.1,14.9,61.2,2.1,4.5,47.1,1.0,2.7,37.3,0.9,2.1,41.3,3.2,7.6,42.2,3.7,9.4,39.5
11,Alex Caruso,CHI,28,8.7,13.3,65.4,1.6,4.2,38.0,1.4,3.1,43.0,1.0,2.5,41.5,2.7,7.2,37.8,4.1,11.4,35.5
12,Alex Len,SAC,29,1.6,2.5,63.6,0.2,0.8,28.6,0.1,0.7,16.7,0.0,1.0,0.0,0.6,1.2,53.8,0.5,1.9,23.8
13,Alize Johnson,SAS,26,2.3,6.3,36.0,0.8,1.8,42.9,0.0,0.3,0.0,0.3,1.3,25.0,1.0,2.7,37.5,1.5,3.3,46.2
14,Alondes Williams,BKN,23,3.0,5.0,60.0,1.0,1.0,100,1.0,1.0,100,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0
