,PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
0,Luka Doncic,DAL,23,47,47,54.3,4.9,12.1,40.4,50.4,23.1,2.5,5.2,47.4,31.1,2.5,7.0,35.2
1,Devin Booker,PHX,26,31,30,56.7,4.9,11.4,42.8,49.0,35.9,3.5,7.3,47.9,20.8,1.4,4.2,33.9
2,Trae Young,ATL,24,49,49,54.0,4.0,10.7,37.7,45.4,27.4,2.4,5.4,44.0,26.6,1.6,5.3,31.2
3,DeMar DeRozan,CHI,33,50,50,58.3,5.0,10.6,47.4,47.9,57.0,4.9,10.3,47.6,1.3,0.1,0.2,41.7
4,Kevin Durant,PHX,34,39,39,55.1,5.6,10.3,54.7,59.0,42.8,4.8,8.0,59.6,12.3,0.9,2.3,37.7
5,Kyrie Irving,DAL,30,42,42,48.6,4.5,9.8,45.5,54.4,25.1,2.7,5.1,54.0,23.5,1.7,4.8,36.6
6,Donovan Mitchell,CLE,26,47,47,49.0,4.2,9.6,43.4,55.4,19.3,1.9,3.8,48.8,29.7,2.3,5.8,39.8
7,Shai Gilgeous-Alexander,OKC,24,51,51,46.1,4.3,9.3,46.6,50.1,37.3,3.7,7.5,49.1,8.9,0.7,1.8,36.5
8,Damian Lillard,POR,32,44,44,46.4,3.8,9.3,40.5,54.4,11.7,1.2,2.3,50.4,34.6,2.6,6.9,37.2
9,Brandon Ingram,NOP,25,22,22,54.1,3.9,9.1,42.7,45.0,47.8,3.5,8.0,43.1,6.3,0.4,1.1,39.0
10,Stephen Curry,GSW,34,37,37,45.1,4.1,9.0,45.9,62.0,14.5,1.2,2.9,42.9,30.6,2.9,6.1,47.3
11,De'Aaron Fox,SAC,25,50,50,49.4,3.7,8.9,41.1,45.3,35.7,2.9,6.4,45.3,13.7,0.7,2.5,30.1
12,Cade Cunningham,DET,21,12,12,47.3,3.7,8.8,41.5,45.3,32.6,3.0,6.1,49.3,14.7,0.7,2.8,24.4
13,Dejounte Murray,ATL,26,51,50,48.1,4.0,8.8,46.0,49.7,38.1,3.4,6.9,48.7,10.0,0.7,1.8,35.7
14,CJ McCollum,NOP,31,51,51,48.1,3.7,8.7,42.7,49.8,29.9,2.5,5.4,45.9,18.1,1.2,3.3,37.7
15,Tyler Herro,MIA,23,44,44,50.8,3.4,8.6,39.2,48.8,25.5,1.7,4.3,39.9,25.3,1.7,4.3,38.6
16,Jamal Murray,DEN,25,45,45,52.5,3.6,8.4,43.2,52.0,30.5,2.2,4.9,44.4,22.0,1.5,3.5,41.9
17,Chris Paul,PHX,37,37,36,75.4,3.5,8.4,41.3,46.9,49.1,2.5,5.5,46.0,26.3,0.9,2.9,32.5
18,Paul George,LAC,32,42,42,47.0,3.4,8.3,41.0,50.7,23.9,1.8,4.2,42.5,23.2,1.6,4.1,39.5
19,Kawhi Leonard,LAC,31,32,31,51.2,3.8,8.3,46.6,50.2,40.3,3.3,6.5,50.0,10.9,0.6,1.8,33.7
20,Jalen Brunson,NYK,26,53,53,46.0,3.5,8.0,44.1,50.5,30.6,2.5,5.4,47.2,15.3,1.0,2.7,38.1
21,LaMelo Ball,CHA,21,30,30,39.5,2.8,8.0,35.4,45.4,15.3,1.2,3.1,39.7,24.2,1.6,4.9,32.7
22,James Harden,PHI,33,38,38,55.5,3.1,8.0,38.6,50.8,17.6,1.1,2.5,44.7,37.9,1.9,5.5,35.8
23,Terry Rozier,CHA,28,47,47,41.3,2.9,7.9,36.7,44.9,19.7,1.6,3.8,42.7,21.6,1.3,4.2,31.3
