,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
0,A.J. Lawson,DAL,12,4.2,5,7,0.0,0.0,0.6,0.3,0.3,100.0
1,AJ Green,MIL,25,8.9,19,6,0.2,0.0,0.9,0.8,1.0,79.2
2,AJ Griffin,ATL,53,20.6,25,28,0.7,0.1,1.6,1.7,2.2,77.2
3,Aaron Gordon,DEN,49,30.3,35,14,0.8,0.8,4.4,1.9,3.2,60.0
4,Aaron Holiday,ATL,49,14.6,26,23,0.6,0.2,0.9,0.8,1.0,76.0
5,Aaron Nesmith,IND,51,24.3,21,30,0.8,0.4,2.8,1.6,2.6,62.7
6,Aaron Wiggins,OKC,44,18.7,24,20,0.5,0.2,2.2,1.3,2.2,58.8
7,Admiral Schofield,ORL,27,13.0,11,16,0.2,0.1,1.2,1.2,1.6,76.2
8,Al Horford,BOS,43,30.8,30,13,0.5,0.9,5.0,2.5,4.7,54.2
9,Alec Burks,DET,43,22.0,12,31,0.7,0.1,2.7,1.9,2.6,71.4
10,Aleksej Pokusevski,OKC,31,21.9,15,16,0.6,1.3,3.6,3.5,5.7,61.0
11,Alex Caruso,CHI,47,24.2,19,28,1.6,0.6,2.6,1.3,2.1,62.6
12,Alex Len,SAC,13,3.5,8,5,0.0,0.0,0.8,0.4,0.7,55.6
13,Alize Johnson,SAS,4,7.4,1,3,0.3,0.0,2.0,0.0,1.8,0.0
14,Alondes Williams,BKN,1,5.3,1,0,0.0,0.0,1.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,51,28.3,10,41,0.8,1.0,5.6,3.9,6.1,64.3
16,Amir Coffey,LAC,39,14.6,20,19,0.2,0.1,0.9,0.7,1.0,69.2
17,Andre Drummond,CHI,43,12.9,19,24,0.7,0.3,4.6,1.5,2.3,66.3
18,Andre Iguodala,GSW,2,12.3,0,2,0.0,0.0,1.0,1.0,1.5,66.7
19,Andrew Nembhard,IND,51,27.3,22,29,1.0,0.2,2.3,1.4,2.1,63.9
20,Andrew Wiggins,GSW,35,32.1,17,18,1.3,0.7,3.4,2.1,3.0,68.6
21,Anfernee Simons,POR,54,35.9,26,28,0.7,0.2,2.4,2.4,3.3,73.6
22,Anthony Davis,LAL,33,33.5,15,18,1.2,2.0,8.8,4.1,6.9,58.5
23,Anthony Edwards,MIN,59,36.2,30,29,1.6,0.6,5.3,2.2,3.1,72.4
24,Anthony Gill,WAS,39,10.2,16,23,0.1,0.2,0.9,0.7,1.2,64.4
25,Anthony Lamb,GSW,41,19.2,22,19,0.5,0.2,2.5,2.4,3.5,68.1
26,Austin Reaves,LAL,39,28.1,18,21,0.5,0.4,2.4,1.8,2.4,76.3
27,Austin Rivers,MIN,44,21.1,22,22,0.6,0.1,1.7,0.8,1.0,77.3
28,Ayo Dosunmu,CHI,53,28.0,25,28,0.7,0.4,2.4,1.5,2.4,64.1
29,Bam Adebayo,MIA,52,35.3,29,23,1.2,0.8,7.3,2.6,4.2,62.6
30,Ben Simmons,BKN,40,26.8,23,17,1.4,0.6,5.4,1.8,3.1,56.8
31,Bennedict Mathurin,IND,58,28.2,25,33,0.6,0.1,3.0,1.7,2.4,70.4
32,Bismack Biyombo,PHX,45,14.0,25,20,0.3,1.3,2.9,1.6,3.6,43.9
33,Blake Griffin,BOS,24,13.4,16,8,0.3,0.1,2.4,1.2,1.6,74.4
34,Blake Wesley,SAS,12,12.8,2,10,0.3,0.1,1.2,0.8,1.1,76.9
35,Boban Marjanovic,HOU,17,4.2,1,16,0.1,0.1,1.1,0.4,0.5,77.8
36,Bobby Portis,MIL,47,26.8,30,17,0.5,0.2,7.5,2.4,3.4,70.4
37,Bogdan Bogdanovic,ATL,32,30.0,16,16,0.8,0.3,2.9,2.0,2.7,74.4
38,Bojan Bogdanovic,DET,53,31.9,15,38,0.6,0.1,3.0,1.9,2.5,75.6
39,Bol Bol,ORL,52,23.5,20,32,0.4,1.4,5.1,2.1,3.1,66.9
40,Bones Hyland,LAC,42,19.5,28,14,0.7,0.3,1.8,1.5,1.9,83.3
41,Bradley Beal,WAS,33,32.7,18,15,0.8,0.7,2.7,1.5,2.1,70.6
42,Brandon Boston Jr.,LAC,20,12.2,7,13,0.5,0.0,1.1,0.9,1.3,69.2
43,Brandon Clarke,MEM,49,19.7,28,21,0.6,0.7,4.0,1.7,3.2,54.8
44,Brandon Ingram,NOP,22,32.1,11,11,0.8,0.5,4.6,1.5,2.4,63.5
45,Braxton Key,DET,3,3.0,0,3,0.0,0.0,0.3,0.0,0.0,0.0
46,Brook Lopez,MIL,55,30.4,38,17,0.5,2.5,4.6,4.0,7.9,51.4
