,PLAYER,TEAM,GP,W,L,MIN,REB,Contested REB,Contested REB%,REB Chances,REB Chance%,Deferred REB Chances,Adjusted REB Chance%,AVG REB Distance
0,A.J. Lawson,DAL,13,5,8,4.8,0.8,0.4,50.0,1.3,58.8,0.2,71.4,5.6
1,AJ Green,MIL,25,19,6,8.9,1.0,0.4,34.6,2.1,50.0,0.2,54.2,8.1
2,AJ Griffin,ATL,55,25,30,20.4,2.1,0.5,23.7,3.7,55.6,0.2,58.8,8.8
3,Aaron Gordon,DEN,49,35,14,30.3,6.9,3.1,45.8,11.0,62.3,0.6,65.9,5.8
4,Aaron Holiday,ATL,50,26,24,14.5,1.3,0.3,21.2,2.7,48.2,0.2,52.0,10.0
5,Aaron Nesmith,IND,53,22,31,24.5,3.8,1.2,30.7,7.9,47.3,0.7,52.1,6.8
6,Aaron Wiggins,OKC,46,25,21,18.4,3.2,1.3,42.5,5.8,54.3,0.5,58.9,7.4
7,Admiral Schofield,ORL,27,11,16,13.0,1.9,0.8,40.4,4.8,40.3,0.3,43.3,6.5
8,Al Horford,BOS,45,32,13,30.7,6.2,2.1,33.2,10.5,59.2,0.9,65.0,6.4
9,Alec Burks,DET,45,12,33,22.1,2.9,0.8,25.8,5.0,59.2,0.2,61.7,7.9
10,Aleksej Pokusevski,OKC,31,15,16,21.9,5.1,2.3,45.9,9.8,51.5,1.1,57.9,5.0
11,Alex Caruso,CHI,48,19,29,24.3,3.1,0.6,19.2,5.8,54.1,0.5,59.0,9.5
12,Alex Len,SAC,13,8,5,3.5,1.2,0.5,40.0,1.9,60.0,0.0,60.0,6.4
13,Alize Johnson,SAS,4,1,3,7.4,2.5,0.8,30.0,4.5,55.6,0.3,58.8,3.8
14,Alondes Williams,BKN,1,1,0,5.3,1.0,0.0,0.0,1.0,100.0,0.0,100.0,7.0
15,Alperen Sengun,HOU,53,10,43,28.3,8.8,4.0,46.1,16.0,54.8,1.2,59.3,5.3
16,Amir Coffey,LAC,40,21,19,14.3,1.3,0.3,21.6,2.6,48.6,0.2,52.0,10.2
17,Andre Drummond,CHI,45,19,26,12.9,6.7,3.6,54.1,9.8,68.7,0.4,71.8,4.2
18,Andre Iguodala,GSW,2,0,2,12.2,1.5,0.0,0.0,3.0,50.0,0.5,60.0,4.7
19,Andrew Nembhard,IND,53,23,30,27.1,2.8,0.5,19.7,5.0,55.5,0.4,60.5,10.1
20,Andrew Wiggins,GSW,36,18,18,32.3,5.0,1.6,32.6,9.8,51.4,0.8,55.9,7.1
21,Anfernee Simons,POR,56,27,29,35.5,2.7,0.6,20.7,4.9,54.3,0.4,59.8,9.4
22,Anthony Davis,LAL,35,16,19,33.4,12.3,7.0,56.6,19.7,62.5,1.4,67.2,4.4
23,Anthony Edwards,MIN,60,31,29,36.2,5.9,1.3,21.1,10.1,58.6,0.7,63.2,6.8
24,Anthony Gill,WAS,41,17,24,10.0,1.4,0.5,36.8,2.8,50.4,0.2,55.3,6.0
25,Anthony Lamb,GSW,42,22,20,19.3,3.2,1.1,35.1,6.8,46.9,0.7,51.9,6.3
26,Austin Reaves,LAL,41,19,22,27.9,3.0,0.4,13.1,5.9,50.8,0.7,57.3,9.1
27,Austin Rivers,MIN,45,23,22,21.1,1.8,0.2,12.7,3.1,56.0,0.2,60.3,9.7
28,Ayo Dosunmu,CHI,55,25,30,28.3,3.1,0.7,21.4,5.7,53.8,0.7,60.9,10.4
29,Bam Adebayo,MIA,54,29,25,35.3,10.0,4.4,43.6,16.8,59.3,1.1,63.3,5.7
30,Ben Simmons,BKN,42,24,18,26.3,6.3,1.9,30.0,9.9,63.1,0.7,67.8,6.3
31,Bennedict Mathurin,IND,60,26,34,28.2,4.1,1.2,29.3,8.0,51.5,0.5,55.2,8.3
32,Bismack Biyombo,PHX,45,25,20,14.0,4.1,1.7,42.6,7.8,52.1,0.6,56.3,5.0
33,Blake Griffin,BOS,26,17,9,14.4,3.4,1.6,47.2,6.2,55.6,0.5,61.0,5.2
34,Blake Wesley,SAS,14,2,12,13.5,1.4,0.3,21.1,2.5,54.3,0.1,55.9,6.4
35,Boban Marjanovic,HOU,19,1,18,4.4,1.5,0.6,37.9,2.6,58.0,0.2,63.0,3.7
36,Bobby Portis,MIL,47,30,17,26.8,10.1,3.6,35.7,16.0,62.8,1.1,67.3,5.1
37,Bogdan Bogdanovic,ATL,34,16,18,29.8,3.4,0.6,19.3,6.0,55.9,0.6,62.0,8.2
38,Bojan Bogdanovic,DET,55,15,40,32.0,3.6,0.7,19.5,6.9,52.9,0.5,56.7,8.9
39,Bol Bol,ORL,54,21,33,23.2,6.2,1.7,27.3,9.0,69.2,0.5,73.3,5.4
40,Bones Hyland,LAC,43,29,14,19.4,2.1,0.4,21.1,4.0,51.7,0.3,55.6,8.8
41,Bradley Beal,WAS,35,19,16,32.8,3.5,0.9,27.3,6.5,52.8,0.4,56.5,8.4
42,Brandon Boston Jr.,LAC,21,8,13,11.7,1.4,0.4,31.0,2.8,49.2,0.1,51.8,7.7
43,Brandon Clarke,MEM,51,29,22,20.0,5.6,2.7,47.7,11.0,50.7,0.7,54.2,5.2
44,Brandon Ingram,NOP,24,12,12,32.2,5.0,1.3,25.2,8.4,59.2,0.7,64.7,7.2
45,Braxton Key,DET,3,0,3,3.0,0.3,0.3,100.0,1.0,33.3,0.3,50.0,2.8
46,Brook Lopez,MIL,56,39,17,30.3,6.5,3.4,52.2,12.0,54.1,1.1,59.3,6.3
47,Bruce Brown,DEN,58,41,17,28.8,3.8,1.1,27.4,7.4,51.6,0.6,56.2,6.8
48,Bruno Fernando,ATL,32,9,23,11.5,3.8,1.6,41.5,8.0,48.2,0.6,51.9,4.9
49,Bryce McGowens,CHA,26,8,18,14.7,1.7,0.4,25.0,2.8,59.5,0.1,61.1,8.7
50,Bryn Forbes,MIN,25,9,16,10.7,0.6,0.2,33.3,1.2,50.0,0.0,51.7,11.8
51,Buddy Boeheim,DET,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Buddy Hield,IND,60,26,34,32.0,4.9,0.9,17.6,9.2,53.6,0.9,59.4,8.4
53,CJ McCollum,NOP,52,26,26,35.0,4.3,0.7,15.5,7.3,59.6,0.4,63.0,10.0
54,Cade Cunningham,DET,12,3,9,33.3,6.2,1.8,29.7,10.7,57.8,0.5,60.7,7.1
55,Caleb Houstan,ORL,34,12,22,16.1,2.2,0.7,31.6,4.5,49.7,0.4,54.3,8.1
56,Caleb Martin,MIA,49,26,23,30.3,5.2,1.4,26.6,9.4,55.7,0.9,61.5,8.3
57,Cam Reddish,POR,23,10,13,22.1,1.6,0.4,24.3,3.3,48.1,0.4,55.2,10.7
58,Cam Thomas,BKN,41,25,16,16.6,1.7,0.3,17.4,3.8,44.5,0.5,50.7,7.8
59,Cameron Johnson,BKN,20,14,6,25.9,3.9,1.0,26.0,6.8,57.0,0.6,62.1,7.7
60,Cameron Payne,PHX,28,15,13,24.0,2.3,0.3,12.5,4.5,50.8,0.4,55.2,9.7
61,Caris LeVert,CLE,55,33,22,30.4,3.9,1.0,25.3,6.4,61.6,0.5,67.0,8.2
