,PLAYER,TEAM,GP,W,L,MIN,REB,Contested REB,Contested REB%,REB Chances,REB Chance%,Deferred REB Chances,Adjusted REB Chance%,AVG REB Distance
0,A.J. Lawson,DAL,12,5,7,4.2,0.7,0.3,50.0,1.2,57.1,0.2,66.7,5.5
1,AJ Green,MIL,24,18,6,9.1,1.1,0.4,34.6,2.2,50.0,0.2,54.2,8.1
2,AJ Griffin,ATL,52,24,28,20.6,2.0,0.5,24.8,3.7,54.1,0.2,57.4,8.7
3,Aaron Gordon,DEN,49,35,14,30.3,6.9,3.1,45.8,11.0,62.3,0.6,65.9,5.8
4,Aaron Holiday,ATL,48,25,23,14.9,1.3,0.3,21.0,2.8,47.0,0.2,50.8,9.9
5,Aaron Nesmith,IND,49,21,28,24.2,3.7,1.1,30.6,7.9,46.5,0.8,51.4,6.8
6,Aaron Wiggins,OKC,43,23,20,18.7,3.2,1.4,43.2,6.0,54.3,0.4,58.4,7.3
7,Admiral Schofield,ORL,27,11,16,13.0,1.9,0.8,40.4,4.8,40.3,0.3,43.3,6.5
8,Al Horford,BOS,43,30,13,30.8,6.1,2.1,34.1,10.5,58.4,1.0,64.4,6.4
9,Alec Burks,DET,42,11,31,22.2,3.0,0.7,25.0,5.0,59.0,0.2,61.7,7.7
10,Aleksej Pokusevski,OKC,31,15,16,21.9,5.1,2.3,45.9,9.8,51.5,1.1,57.9,5.0
11,Alex Caruso,CHI,46,19,27,24.3,3.2,0.6,18.6,5.8,54.1,0.5,58.7,9.6
12,Alex Len,SAC,13,8,5,3.5,1.2,0.5,40.0,1.9,60.0,0.0,60.0,6.4
13,Alize Johnson,SAS,4,1,3,7.4,2.5,0.8,30.0,4.5,55.6,0.3,58.8,3.8
14,Alondes Williams,BKN,1,1,0,5.3,1.0,0.0,0.0,1.0,100.0,0.0,100.0,7.0
15,Alperen Sengun,HOU,50,10,40,28.3,8.8,4.1,46.3,16.0,54.7,1.2,59.3,5.2
16,Amir Coffey,LAC,38,20,18,14.2,1.3,0.3,20.8,2.7,47.1,0.2,50.5,10.4
17,Andre Drummond,CHI,42,19,23,13.0,6.8,3.7,54.6,9.7,69.8,0.4,72.6,4.2
18,Andre Iguodala,GSW,2,0,2,12.2,1.5,0.0,0.0,3.0,50.0,0.5,60.0,4.7
19,Andrew Nembhard,IND,49,22,27,27.4,2.9,0.6,20.7,5.2,55.3,0.4,60.6,10.0
20,Andrew Wiggins,GSW,34,17,17,32.1,5.0,1.6,33.1,9.6,51.5,0.7,55.6,7.1
21,Anfernee Simons,POR,53,26,27,35.8,2.7,0.5,20.4,4.9,54.2,0.4,59.4,9.5
22,Anthony Davis,LAL,32,14,18,33.5,12.0,6.9,57.1,19.4,62.1,1.3,66.6,4.5
23,Anthony Edwards,MIN,58,30,28,36.2,6.0,1.3,21.3,10.2,59.0,0.7,63.5,6.8
24,Anthony Gill,WAS,38,15,23,10.4,1.5,0.5,35.7,2.9,50.9,0.2,55.4,6.1
25,Anthony Lamb,GSW,41,22,19,19.2,3.2,1.1,34.8,6.9,47.0,0.7,52.0,6.4
26,Austin Reaves,LAL,38,17,21,28.2,3.1,0.4,12.1,6.0,50.7,0.7,57.1,9.2
27,Austin Rivers,MIN,43,22,21,21.1,1.8,0.2,13.0,3.2,55.8,0.2,60.2,9.8
28,Ayo Dosunmu,CHI,52,25,27,28.0,3.1,0.7,22.0,5.7,53.7,0.7,60.9,10.1
29,Bam Adebayo,MIA,50,27,23,35.2,10.0,4.5,44.8,16.8,59.4,1.0,63.3,5.6
30,Ben Simmons,BKN,39,23,16,27.1,6.5,1.9,29.2,10.1,64.1,0.7,68.8,6.3
31,Bennedict Mathurin,IND,56,25,31,28.1,4.1,1.2,29.3,8.0,51.8,0.5,55.5,8.2
32,Bismack Biyombo,PHX,44,24,20,14.2,4.1,1.7,41.7,7.9,51.9,0.6,56.1,5.0
33,Blake Griffin,BOS,23,15,8,13.4,3.2,1.4,43.8,5.9,54.1,0.5,59.3,5.1
34,Blake Wesley,SAS,10,2,8,12.3,1.2,0.2,16.7,2.3,52.2,0.1,54.5,7.5
35,Boban Marjanovic,HOU,17,1,16,4.2,1.5,0.6,42.3,2.8,55.3,0.2,60.5,3.7
36,Bobby Portis,MIL,47,30,17,26.8,10.1,3.6,35.7,16.0,62.8,1.1,67.3,5.1
37,Bogdan Bogdanovic,ATL,31,15,16,30.1,3.4,0.6,19.2,6.0,56.2,0.6,62.7,8.2
38,Bojan Bogdanovic,DET,52,14,38,31.7,3.6,0.7,19.5,6.7,53.2,0.5,57.1,8.9
39,Bol Bol,ORL,51,20,31,23.6,6.3,1.6,26.1,9.1,69.5,0.5,73.7,5.4
40,Bones Hyland,LAC,42,28,14,19.5,2.0,0.5,22.1,4.0,51.5,0.3,55.5,8.3
41,Bradley Beal,WAS,32,17,15,32.8,3.5,1.0,27.7,6.7,52.3,0.4,55.4,8.5
42,Brandon Boston Jr.,LAC,19,7,12,11.5,1.4,0.4,29.6,2.7,51.9,0.2,55.1,8.1
43,Brandon Clarke,MEM,48,27,21,19.7,5.6,2.6,47.2,10.9,51.2,0.7,54.9,5.2
44,Brandon Ingram,NOP,21,11,10,32.0,5.1,1.3,25.9,8.5,60.3,0.7,65.9,7.2
45,Braxton Key,DET,3,0,3,3.0,0.3,0.3,100.0,1.0,33.3,0.3,50.0,2.8
46,Brook Lopez,MIL,54,37,17,30.3,6.4,3.4,53.3,12.1,53.2,1.1,58.4,6.2
47,Bruce Brown,DEN,55,38,17,28.7,3.9,1.1,27.8,7.6,51.8,0.6,56.3,6.8
