,PLAYER,TEAM,GP,W,L,MIN,Passes Made,Passes Received,AST,Secondary AST,Potential AST,AST PTS Created,AST PTS Created.1,AST Adj,AST To Pass%,AST To Pass% Adj
0,A.J. Lawson,DAL,12,5,7,4.2,2.3,2.9,0.1,0.0,0.3,0.3,0.1,3.7,3.7,
1,AJ Green,MIL,24,18,6,9.1,6.9,8.2,0.5,0.1,1.1,1.3,0.6,6.6,9.0,
2,AJ Griffin,ATL,52,24,28,20.6,13.3,15.5,1.0,0.1,1.8,2.6,1.2,7.8,9.1,
3,Aaron Gordon,DEN,49,35,14,30.3,26.6,27.9,2.9,0.4,4.2,7.1,3.4,10.8,12.9,
4,Aaron Holiday,ATL,48,25,23,14.9,16.1,17.1,1.4,0.1,3.0,3.6,1.7,8.4,10.6,
5,Aaron Nesmith,IND,49,21,28,24.2,23.4,19.8,1.2,0.2,1.9,3.2,1.5,5.1,6.3,
6,Aaron Wiggins,OKC,43,23,20,18.7,15.1,14.0,1.4,0.2,2.5,3.8,1.7,9.3,11.6,
7,Admiral Schofield,ORL,27,11,16,13.0,15.9,10.0,0.9,0.0,1.4,2.4,0.9,5.4,5.8,
8,Al Horford,BOS,43,30,13,30.8,37.2,27.6,2.7,0.4,4.6,7.2,3.3,7.1,8.8,
9,Alec Burks,DET,42,11,31,22.2,21.9,25.3,2.2,0.2,3.6,5.3,2.5,9.9,11.2,
10,Aleksej Pokusevski,OKC,31,15,16,21.9,33.9,26.4,2.0,0.2,3.7,5.0,2.3,5.9,6.7,
11,Alex Caruso,CHI,46,19,27,24.3,38.9,30.4,3.3,0.5,5.2,8.7,4.2,8.4,10.8,
12,Alex Len,SAC,13,8,5,3.5,5.2,3.2,0.4,0.0,0.6,0.9,0.4,7.4,7.4,
13,Alize Johnson,SAS,4,1,3,7.4,8.8,5.8,0.3,0.0,1.3,0.8,0.3,2.9,2.9,
14,Alondes Williams,BKN,1,1,0,5.3,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15,Alperen Sengun,HOU,50,10,40,28.3,37.4,35.3,3.8,0.3,6.5,9.6,4.5,10.0,12.1,
16,Amir Coffey,LAC,38,20,18,14.2,10.8,11.8,1.3,0.1,2.3,3.2,1.6,11.7,14.7,
17,Andre Drummond,CHI,42,19,23,13.0,12.1,9.9,0.6,0.0,0.9,1.5,0.6,5.1,5.3,
18,Andre Iguodala,GSW,2,0,2,12.3,19.5,11.5,2.0,0.5,3.0,5.0,2.5,10.3,12.8,
19,Andrew Nembhard,IND,49,22,27,27.4,33.5,36.6,4.1,0.3,8.2,10.8,5.0,12.2,15.0,
20,Andrew Wiggins,GSW,34,17,17,32.1,28.8,33.3,2.3,0.6,4.8,6.2,3.2,8.0,11.0,
21,Anfernee Simons,POR,53,26,27,35.8,47.1,59.3,4.2,1.1,7.2,10.5,5.6,8.8,11.9,
22,Anthony Davis,LAL,32,14,18,33.5,44.4,37.2,2.5,0.2,3.8,6.1,2.8,5.7,6.2,
23,Anthony Edwards,MIN,58,30,28,36.2,46.6,54.9,4.6,0.8,8.0,11.6,5.6,9.8,12.0,
24,Anthony Gill,WAS,38,15,23,10.4,7.5,6.4,0.5,0.1,0.9,1.5,0.6,7.0,8.4,
25,Anthony Lamb,GSW,41,22,19,19.2,25.4,18.8,1.7,0.2,3.6,4.9,2.1,6.5,8.4,
26,Austin Reaves,LAL,38,17,21,28.2,24.9,22.9,2.2,0.3,4.4,5.3,2.6,8.8,10.3,
27,Austin Rivers,MIN,43,22,21,21.1,19.3,19.8,1.6,0.2,2.6,4.1,2.0,8.2,10.2,
28,Ayo Dosunmu,CHI,52,25,27,28.0,37.3,37.2,2.8,0.5,5.1,6.7,3.4,7.4,9.0,
29,Bam Adebayo,MIA,50,27,23,35.2,42.1,43.3,3.2,0.3,5.6,8.2,3.7,7.6,8.8,
30,Ben Simmons,BKN,39,23,16,27.1,52.9,42.8,6.3,0.6,9.7,15.9,7.2,12.0,13.6,
31,Bennedict Mathurin,IND,56,25,31,28.1,23.9,31.2,1.4,0.3,2.7,3.8,1.8,5.8,7.7,
32,Bismack Biyombo,PHX,44,24,20,14.2,18.6,13.1,0.9,0.0,1.5,2.2,1.0,5.0,5.4,
33,Blake Griffin,BOS,23,15,8,13.4,15.0,11.6,1.1,0.0,1.9,3.0,1.2,7.2,7.8,
34,Blake Wesley,SAS,10,2,8,12.3,19.2,21.1,1.4,0.4,2.6,3.9,1.9,7.3,9.9,
35,Boban Marjanovic,HOU,17,1,16,4.2,3.4,3.5,0.2,0.0,0.2,0.5,0.2,7.0,7.0,
36,Bobby Portis,MIL,47,30,17,26.8,37.9,25.0,1.8,0.2,3.1,4.8,2.2,4.8,5.7,
37,Bogdan Bogdanovic,ATL,31,15,16,30.1,27.5,30.8,3.1,0.3,5.1,7.6,3.6,11.3,13.2,
38,Bojan Bogdanovic,DET,52,14,38,31.7,26.0,34.2,2.6,0.4,5.5,7.0,3.3,10.0,12.6,
39,Bol Bol,ORL,51,20,31,23.6,14.4,14.1,0.8,0.1,1.7,2.1,1.0,5.9,6.8,
40,Bones Hyland,LAC,42,28,14,19.5,32.8,39.1,3.0,0.5,5.4,7.6,3.9,9.1,11.9,
41,Bradley Beal,WAS,32,17,15,32.8,42.9,55.4,5.2,0.8,11.3,14.4,7.0,12.2,16.2,
42,Brandon Boston Jr.,LAC,19,7,12,11.5,12.7,14.4,1.0,0.2,2.3,2.4,1.2,7.9,9.1,
43,Brandon Clarke,MEM,48,27,21,19.7,20.3,18.3,1.2,0.2,2.5,3.2,1.6,5.9,7.7,
44,Brandon Ingram,NOP,21,11,10,32.0,39.0,51.8,5.1,0.5,9.9,14.0,6.2,13.0,16.0,
45,Braxton Key,DET,3,0,3,3.0,2.7,1.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,
46,Brook Lopez,MIL,54,37,17,30.3,20.6,21.8,1.2,0.1,2.3,3.3,1.5,5.9,7.2,
47,Bruce Brown,DEN,55,38,17,28.7,40.5,39.1,3.6,0.5,5.4,8.7,4.2,8.9,10.4,
48,Bruno Fernando,ATL,31,9,22,11.7,16.6,11.3,1.0,0.1,1.7,2.6,1.1,5.8,6.8,
49,Bryce McGowens,CHA,22,6,16,13.8,10.8,10.0,1.0,0.1,1.7,2.2,1.2,8.8,10.9,
50,Bryn Forbes,MIN,25,9,16,10.7,7.5,8.9,0.7,0.1,1.0,1.8,0.8,9.1,11.2,
51,Buddy Boeheim,DET,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
52,Buddy Hield,IND,56,25,31,32.3,42.4,40.3,2.7,0.6,5.3,7.1,3.7,6.4,8.8,
53,CJ McCollum,NOP,50,26,24,35.1,51.0,65.5,5.9,0.7,10.8,15.3,7.5,11.5,14.7,
54,Cade Cunningham,DET,12,3,9,33.3,50.3,65.8,6.0,0.4,12.6,17.3,8.3,11.9,16.4,
55,Caleb Houstan,ORL,32,11,21,16.4,9.4,7.2,0.6,0.1,0.9,1.5,0.6,6.0,6.6,
56,Caleb Martin,MIA,45,24,21,30.7,28.6,26.8,1.7,0.3,3.6,4.8,2.2,5.9,7.8,
57,Cam Reddish,POR,20,9,11,21.9,11.0,14.8,1.0,0.1,1.9,2.4,1.1,9.1,10.0,
58,Cam Thomas,BKN,38,24,14,16.3,17.9,23.1,1.5,0.3,2.6,3.6,1.8,8.5,10.3,
59,Cameron Johnson,BKN,17,13,4,25.3,21.8,22.1,1.5,0.2,2.9,4.2,2.2,7.0,10.0,
60,Cameron Payne,PHX,28,15,13,24.0,43.1,46.6,5.3,0.8,9.9,12.9,6.5,12.3,15.2,
61,Caris LeVert,CLE,51,30,21,30.8,35.0,37.4,3.8,0.5,6.9,9.7,4.8,10.9,13.7,
62,Cedi Osman,CLE,55,34,21,21.3,21.3,22.7,1.5,0.4,2.5,4.0,2.0,7.2,9.5,
63,Charles Bassey,SAS,24,5,19,13.6,17.5,11.2,1.2,0.1,2.0,2.9,1.4,6.9,8.1,
64,Chima Moneke,SAC,2,1,1,4.0,4.0,4.0,0.5,0.0,0.0,1.0,0.5,12.5,12.5,
65,Chimezie Metu,SAC,41,24,17,10.9,11.7,9.3,0.7,0.1,1.2,1.9,0.8,6.0,7.1,
66,Chris Boucher,TOR,50,24,26,20.8,15.7,11.9,0.5,0.0,0.9,1.1,0.6,2.9,3.6,
67,Chris Duarte,IND,33,13,20,19.0,18.6,20.1,1.5,0.1,2.4,3.8,1.7,8.3,9.1,
68,Chris Paul,PHX,36,18,18,31.8,58.6,62.7,8.7,1.1,17.3,22.5,10.8,14.9,18.5,
69,Chris Silva,DAL,1,1,0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
70,Christian Braun,DEN,51,35,16,14.8,12.2,10.2,0.7,0.1,1.2,1.6,0.8,5.5,6.3,
71,Christian Koloko,TOR,45,21,24,14.6,11.7,9.0,0.5,0.1,0.7,1.2,0.6,4.2,5.1,
72,Christian Wood,DAL,44,25,19,28.5,33.2,30.3,1.7,0.3,3.3,4.6,2.2,5.2,6.6,
73,Chuma Okeke,ORL,18,5,13,21.8,19.8,14.1,1.4,0.2,2.4,3.7,1.7,7.3,8.7,
74,Clint Capela,ATL,40,22,18,26.8,26.3,14.6,0.8,0.2,1.4,1.9,1.0,2.9,3.9,
75,Coby White,CHI,46,22,24,21.8,23.8,25.0,2.0,0.3,3.8,5.1,2.5,8.4,10.6,
76,Cody Martin,CHA,7,2,5,19.1,15.1,13.6,1.6,0.0,2.4,4.1,1.6,10.4,10.4,
77,Cole Anthony,ORL,38,18,20,25.2,39.9,40.6,4.1,0.4,7.2,10.7,4.9,10.2,12.2,
78,Cole Swider,LAL,6,1,5,6.7,7.5,5.3,0.7,0.0,1.0,1.7,0.7,8.9,8.9,
79,Collin Sexton,UTA,43,22,21,23.9,30.6,37.9,2.7,0.3,5.7,7.3,3.2,8.9,10.6,
80,Corey Kispert,WAS,46,21,25,27.4,22.3,20.6,1.3,0.1,2.4,3.5,1.7,5.9,7.5,
81,Cory Joseph,DET,37,9,28,15.7,26.9,29.6,3.2,0.2,5.2,8.7,3.8,12.0,13.9,
82,D'Angelo Russell,LAL,54,27,27,32.9,63.9,69.4,6.2,0.7,10.3,15.8,7.6,9.7,11.9,
83,Daishen Nix,HOU,40,11,29,15.5,28.9,27.4,2.6,0.3,4.8,6.3,3.1,8.9,10.6,
84,Dalano Banton,TOR,24,12,12,9.7,15.8,16.2,1.2,0.1,1.9,2.9,1.3,7.4,8.5,
85,Dalen Terry,CHI,19,10,9,3.3,3.3,3.2,0.4,0.1,0.5,0.7,0.3,11.1,9.5,
86,Damian Jones,UTA,22,6,16,8.0,6.5,4.3,0.2,0.1,0.5,0.6,0.4,2.8,5.6,
87,Damian Lillard,POR,43,22,21,36.2,57.5,74.6,7.3,1.0,12.9,19.0,9.1,12.7,15.8,
88,Damion Lee,PHX,57,30,27,22.3,21.9,21.1,1.5,0.2,3.0,3.9,1.9,6.9,8.5,
89,Daniel Gafford,WAS,52,23,29,18.4,19.2,12.8,0.8,0.0,1.2,2.0,0.9,4.2,4.6,
90,Daniel Theis,IND,4,1,3,14.0,13.8,14.5,0.5,0.3,0.5,1.5,0.8,3.6,5.5,
91,Danny Green,HOU,3,1,2,14.5,14.3,12.7,0.7,0.3,2.0,2.0,1.0,4.7,7.0,
92,Danuel House Jr.,PHI,35,22,13,15.4,12.8,11.5,0.7,0.2,1.3,1.9,0.9,5.6,7.4,
93,Dario Saric,OKC,37,17,20,14.4,15.6,12.6,1.5,0.1,2.2,3.8,1.7,9.9,10.7,
94,Darius Bazley,PHX,36,16,20,15.4,17.4,11.9,0.9,0.1,1.4,2.3,1.0,5.1,5.6,
95,Darius Days,HOU,1,0,1,2.5,5.0,1.0,1.0,0.0,1.0,3.0,1.0,20.0,20.0,
96,Darius Garland,CLE,47,25,22,35.3,53.9,70.6,8.1,1.0,13.3,19.3,9.8,15.0,18.2,
97,David Duke Jr.,BKN,15,7,8,9.1,7.8,9.5,0.8,0.0,1.6,2.5,0.9,10.3,12.0,
98,David Roddy,MEM,45,28,17,17.8,12.3,12.9,0.7,0.1,1.5,1.7,0.9,5.4,7.0,
99,Davion Mitchell,SAC,53,30,23,18.2,27.8,30.6,2.2,0.4,4.4,6.2,3.0,7.9,10.7,
100,Davis Bertans,DAL,34,17,17,10.6,8.7,8.0,0.4,0.1,0.7,0.9,0.4,4.1,5.1,
101,Davon Reed,LAL,35,23,12,9.0,13.0,10.8,0.5,0.1,1.1,1.3,0.7,4.2,5.0,
102,Day'Ron Sharpe,BKN,30,16,14,10.3,12.3,8.5,0.7,0.0,1.2,1.7,0.7,5.7,6.0,
103,De'Aaron Fox,SAC,49,30,19,33.7,53.3,67.2,6.3,0.4,12.1,16.5,7.3,11.8,13.7,
104,De'Andre Hunter,ATL,46,26,20,32.0,22.5,23.1,1.4,0.1,2.8,3.7,1.7,6.3,7.4,
105,De'Anthony Melton,PHI,50,32,18,29.0,40.5,34.6,2.8,0.5,5.6,7.8,3.7,6.8,9.1,
106,DeAndre Jordan,DEN,33,20,13,14.7,14.5,11.0,0.9,0.0,1.4,2.3,1.0,6.3,6.9,
107,DeMar DeRozan,CHI,50,24,26,36.2,35.5,52.5,5.1,1.2,9.7,13.4,6.7,14.3,18.9,
108,Dean Wade,CLE,27,19,8,23.0,19.4,13.7,1.0,0.2,1.8,2.7,1.2,5.2,6.1,
109,Deandre Ayton,PHX,48,22,26,30.0,35.4,28.1,2.1,0.2,2.9,5.1,2.3,5.9,6.5,
110,Dejounte Murray,ATL,51,26,25,36.6,48.7,58.5,6.2,0.4,10.6,15.3,7.1,12.8,14.5,
111,Delon Wright,WAS,25,16,9,22.0,37.9,36.2,3.7,0.4,7.3,9.7,4.5,9.7,11.9,
112,Deni Avdija,WAS,52,24,28,26.4,32.5,25.5,2.5,0.4,4.8,6.5,3.3,7.6,10.0,
113,Dennis Schroder,LAL,43,21,22,30.2,38.6,42.4,4.1,0.6,7.7,10.8,5.1,10.7,13.2,
114,Dennis Smith Jr.,CHA,34,9,25,24.9,40.3,42.3,4.4,0.4,9.1,12.1,5.6,11.0,13.8,
115,Deonte Burton,SAC,2,1,1,3.3,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
116,Dereon Seabron,NOP,4,2,2,1.9,1.3,1.8,0.0,0.0,0.3,0.0,0.0,0.0,0.0,
117,Derrick Jones Jr.,CHI,43,17,26,15.4,15.1,11.3,0.7,0.1,1.0,1.9,0.8,4.3,5.4,
118,Derrick Rose,NYK,26,11,15,12.9,19.7,23.2,1.8,0.2,3.1,4.4,2.0,9.0,10.4,
119,Derrick White,BOS,55,39,16,27.1,33.0,33.1,3.5,0.4,5.5,9.1,4.1,10.5,12.4,
120,Desmond Bane,MEM,32,20,12,31.1,38.9,45.9,4.1,0.6,7.2,10.6,5.1,10.5,13.2,
121,Devin Booker,PHX,30,19,11,34.2,35.1,54.9,5.6,1.1,11.4,14.6,7.1,15.8,20.2,
122,Devin Vassell,SAS,29,8,21,31.3,33.9,40.1,3.6,0.6,6.6,9.4,4.4,10.6,13.0,
123,Devon Dotson,WAS,6,1,5,8.9,14.0,12.0,1.3,0.0,3.0,3.3,1.3,9.5,9.5,
124,Devonte' Graham,SAS,53,27,26,15.3,22.7,22.8,2.2,0.2,3.9,5.2,2.5,9.6,10.9,
125,Dewayne Dedmon,MIA,30,17,13,11.7,14.2,10.7,0.5,0.0,1.0,1.3,0.6,3.8,4.2,
126,Dillon Brooks,MEM,49,30,19,30.7,25.2,33.0,2.7,0.3,4.4,6.6,3.2,10.5,12.5,
