,PLAYER,TEAM,GP,W,L,MIN,REB,Contested REB,Contested REB%,REB Chances,REB Chance%,Deferred REB Chances,Adjusted REB Chance%,AVG REB Distance
0,A.J. Lawson,DAL,13,5,8,4.8,0.8,0.4,50.0,1.3,58.8,0.2,71.4,5.6
1,AJ Green,MIL,26,20,6,9.4,1.1,0.4,35.7,2.3,47.5,0.2,50.9,8.0
2,AJ Griffin,ATL,55,25,30,20.4,2.1,0.5,23.7,3.7,55.6,0.2,58.8,8.8
3,Aaron Gordon,DEN,49,35,14,30.3,6.9,3.1,45.8,11.0,62.3,0.6,65.9,5.8
4,Aaron Holiday,ATL,50,26,24,14.5,1.3,0.3,21.2,2.7,48.2,0.2,52.0,10.0
5,Aaron Nesmith,IND,54,22,32,24.7,3.7,1.1,30.7,8.0,46.9,0.7,51.5,6.8
6,Aaron Wiggins,OKC,46,25,21,18.4,3.2,1.3,42.5,5.8,54.3,0.5,58.9,7.4
7,Admiral Schofield,ORL,27,11,16,13.0,1.9,0.8,40.4,4.8,40.3,0.3,43.3,6.5
8,Al Horford,BOS,46,33,13,30.7,6.2,2.1,33.4,10.5,59.4,0.9,65.2,6.4
9,Alec Burks,DET,46,12,34,22.0,3.0,0.8,25.5,5.0,59.6,0.2,62.0,7.9
10,Aleksej Pokusevski,OKC,31,15,16,21.9,5.1,2.3,45.9,9.8,51.5,1.1,57.9,5.0
11,Alex Caruso,CHI,48,19,29,24.3,3.1,0.6,19.2,5.8,54.1,0.5,59.0,9.5
12,Alex Len,SAC,14,9,5,3.4,1.1,0.4,40.0,1.9,55.6,0.0,55.6,6.4
13,Alize Johnson,SAS,4,1,3,7.4,2.5,0.8,30.0,4.5,55.6,0.3,58.8,3.8
14,Alondes Williams,BKN,1,1,0,5.3,1.0,0.0,0.0,1.0,100.0,0.0,100.0,7.0
15,Alperen Sengun,HOU,53,10,43,28.3,8.8,4.0,46.1,16.0,54.8,1.2,59.3,5.3
16,Amir Coffey,LAC,40,21,19,14.3,1.3,0.3,21.6,2.6,48.6,0.2,52.0,10.2
17,Andre Drummond,CHI,46,19,27,12.9,6.7,3.6,53.9,9.8,68.4,0.5,72.0,4.2
18,Andre Iguodala,GSW,2,0,2,12.2,1.5,0.0,0.0,3.0,50.0,0.5,60.0,4.7
19,Andrew Nembhard,IND,54,23,31,27.0,2.7,0.5,19.7,5.0,54.9,0.4,59.8,10.1
20,Andrew Wiggins,GSW,36,18,18,32.3,5.0,1.6,32.6,9.8,51.4,0.8,55.9,7.1
21,Anfernee Simons,POR,56,27,29,35.5,2.7,0.6,20.7,4.9,54.3,0.4,59.8,9.4
22,Anthony Davis,LAL,36,17,19,33.2,12.3,6.9,56.2,19.7,62.5,1.4,67.3,4.4
23,Anthony Edwards,MIN,61,31,30,36.2,5.9,1.2,20.8,10.1,58.3,0.7,62.7,6.9
24,Anthony Gill,WAS,41,17,24,10.0,1.4,0.5,36.8,2.8,50.4,0.2,55.3,6.0
25,Anthony Lamb,GSW,43,22,21,19.5,3.2,1.1,34.5,6.8,47.4,0.7,52.5,6.5
26,Austin Reaves,LAL,42,20,22,27.7,3.0,0.4,13.7,5.8,50.6,0.6,56.9,9.0
27,Austin Rivers,MIN,46,23,23,20.8,1.7,0.2,12.7,3.1,55.6,0.2,59.8,9.7
28,Ayo Dosunmu,CHI,56,25,31,28.5,3.1,0.7,22.2,5.7,53.6,0.6,60.4,10.5
29,Bam Adebayo,MIA,54,29,25,35.3,10.0,4.4,43.6,16.8,59.3,1.1,63.3,5.7
30,Ben Simmons,BKN,42,24,18,26.3,6.3,1.9,30.0,9.9,63.1,0.7,67.8,6.3
31,Bennedict Mathurin,IND,61,26,35,28.2,4.1,1.2,29.6,8.0,51.5,0.5,55.2,8.4
32,Bismack Biyombo,PHX,46,25,21,13.9,4.1,1.8,43.3,7.8,52.4,0.6,56.7,5.0
33,Blake Griffin,BOS,26,17,9,14.4,3.4,1.6,47.2,6.2,55.6,0.5,61.0,5.2
34,Blake Wesley,SAS,15,2,13,14.0,1.5,0.3,22.7,3.0,48.9,0.1,50.0,6.6
35,Boban Marjanovic,HOU,19,1,18,4.4,1.5,0.6,37.9,2.6,58.0,0.2,63.0,3.7
36,Bobby Portis,MIL,47,30,17,26.8,10.1,3.6,35.7,16.0,62.8,1.1,67.3,5.1
37,Bogdan Bogdanovic,ATL,34,16,18,29.8,3.4,0.6,19.3,6.0,55.9,0.6,62.0,8.2
38,Bojan Bogdanovic,DET,56,15,41,32.0,3.6,0.7,19.2,6.8,53.0,0.4,56.7,8.9
39,Bol Bol,ORL,55,22,33,23.0,6.2,1.7,27.4,8.9,69.1,0.5,73.3,5.4
40,Bones Hyland,LAC,44,30,14,19.4,2.1,0.4,20.4,4.1,52.0,0.3,55.7,8.7
41,Bradley Beal,WAS,36,20,16,32.9,3.5,0.9,26.0,6.6,53.6,0.4,57.5,8.5
42,Brandon Boston Jr.,LAC,21,8,13,11.7,1.4,0.4,31.0,2.8,49.2,0.1,51.8,7.7
43,Brandon Clarke,MEM,52,29,23,19.9,5.5,2.6,47.6,10.9,50.6,0.7,54.1,5.2
44,Brandon Ingram,NOP,25,12,13,32.3,5.0,1.3,25.4,8.5,59.4,0.7,64.6,7.2
45,Braxton Key,DET,3,0,3,3.0,0.3,0.3,100.0,1.0,33.3,0.3,50.0,2.8
46,Brook Lopez,MIL,57,40,17,30.3,6.5,3.4,51.5,12.0,54.2,1.0,59.3,6.3
47,Bruce Brown,DEN,59,42,17,28.7,3.8,1.0,27.1,7.4,51.6,0.6,56.1,6.8
48,Bruno Fernando,ATL,32,9,23,11.5,3.8,1.6,41.5,8.0,48.2,0.6,51.9,4.9
49,Bryce McGowens,CHA,26,8,18,14.7,1.7,0.4,25.0,2.8,59.5,0.1,61.1,8.7
50,Bryn Forbes,MIN,25,9,16,10.7,0.6,0.2,33.3,1.2,50.0,0.0,51.7,11.8
51,Buddy Boeheim,DET,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Buddy Hield,IND,61,26,35,32.1,4.9,0.9,17.7,9.2,53.3,0.9,58.8,8.3
53,CJ McCollum,NOP,53,26,27,35.0,4.3,0.7,15.2,7.3,59.6,0.4,62.8,10.0
54,Cade Cunningham,DET,12,3,9,33.3,6.2,1.8,29.7,10.7,57.8,0.5,60.7,7.1
55,Caleb Houstan,ORL,34,12,22,16.1,2.2,0.7,31.6,4.5,49.7,0.4,54.3,8.1
56,Caleb Martin,MIA,49,26,23,30.3,5.2,1.4,26.6,9.4,55.7,0.9,61.5,8.3
57,Cam Reddish,POR,24,10,14,22.6,1.7,0.4,24.4,3.7,46.6,0.4,52.6,10.8
58,Cam Thomas,BKN,41,25,16,16.6,1.7,0.3,17.4,3.8,44.5,0.5,50.7,7.8
59,Cameron Johnson,BKN,20,14,6,25.9,3.9,1.0,26.0,6.8,57.0,0.6,62.1,7.7
60,Cameron Payne,PHX,28,15,13,24.0,2.3,0.3,12.5,4.5,50.8,0.4,55.2,9.7
61,Caris LeVert,CLE,56,33,23,30.5,3.9,1.0,24.9,6.4,61.6,0.5,66.8,8.2
62,Carlik Jones,CHI,1,0,1,21.7,3.0,2.0,66.7,4.0,75.0,0.0,75.0,9.0
63,Cedi Osman,CLE,59,37,22,21.1,2.2,0.5,20.6,4.1,53.7,0.4,59.3,8.5
64,Charles Bassey,SAS,27,5,22,13.8,5.6,2.0,35.8,9.1,61.1,0.7,66.5,5.0
65,Chima Moneke,SAC,2,1,1,4.0,1.0,0.0,0.0,2.0,50.0,0.0,50.0,11.2
66,Chimezie Metu,SAC,45,26,19,10.9,3.0,1.1,36.5,5.2,58.5,0.3,62.3,4.4
67,Chris Boucher,TOR,54,27,27,20.8,5.9,2.8,48.1,10.2,57.8,0.6,61.7,4.3
68,Chris Duarte,IND,37,14,23,19.2,2.5,0.5,19.8,5.1,48.7,0.5,54.2,7.8
69,Chris Paul,PHX,39,20,19,32.0,4.2,0.7,15.8,6.8,62.5,0.4,66.0,9.2
70,Chris Silva,DAL,1,1,0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
71,Christian Braun,DEN,55,39,16,15.3,2.4,0.7,28.5,4.2,55.8,0.3,59.6,7.6
72,Christian Koloko,TOR,45,21,24,14.6,3.2,1.8,56.2,7.2,45.2,0.6,49.0,5.3
73,Christian Wood,DAL,49,27,22,27.6,8.0,3.2,40.2,12.5,63.8,0.9,68.5,4.8
74,Chuma Okeke,ORL,19,5,14,21.3,4.1,1.3,30.8,6.9,59.1,0.4,62.9,8.0
75,Clint Capela,ATL,43,23,20,26.9,11.3,5.8,51.4,17.3,65.4,0.7,68.1,4.5
76,Coby White,CHI,50,22,28,22.4,2.7,0.7,25.0,5.2,52.3,0.4,56.7,8.2
77,Cody Martin,CHA,7,2,5,19.1,3.4,1.3,37.5,5.1,66.7,0.3,70.6,10.0
78,Cole Anthony,ORL,40,19,21,24.9,4.6,0.9,18.6,7.7,59.4,0.7,65.1,7.7
79,Cole Swider,LAL,6,1,5,6.7,1.2,0.8,71.4,2.0,58.3,0.0,58.3,4.0
80,Collin Sexton,UTA,47,24,23,24.0,2.2,0.5,24.0,4.3,51.0,0.3,54.5,10.1
81,Corey Kispert,WAS,50,24,26,27.2,2.7,0.7,25.9,5.1,52.9,0.4,57.0,8.7
82,Cory Joseph,DET,41,10,31,15.8,1.3,0.3,24.5,3.5,37.3,0.4,42.7,10.5
83,D'Angelo Russell,LAL,58,30,28,32.4,3.1,0.7,21.2,6.2,50.1,0.7,56.5,10.1
84,Daishen Nix,HOU,41,11,30,15.5,1.7,0.4,23.9,3.1,55.0,0.2,59.7,8.6
85,Dalano Banton,TOR,26,14,12,9.5,1.3,0.4,31.4,2.8,48.6,0.2,52.2,6.5
86,Dalen Terry,CHI,22,10,12,5.2,0.7,0.2,33.3,1.9,35.7,0.2,39.5,8.1
87,Damian Jones,UTA,24,7,17,8.2,2.6,1.0,40.3,4.6,56.4,0.3,59.6,6.9
88,Damian Lillard,POR,46,23,23,36.2,4.3,0.8,18.7,8.5,50.5,0.7,55.2,9.7
89,Damion Lee,PHX,60,32,28,22.1,3.2,0.6,19.8,5.5,58.5,0.4,63.2,7.7
90,Daniel Gafford,WAS,56,26,30,18.7,5.3,2.6,48.5,10.9,48.1,0.8,51.9,4.2
91,Daniel Theis,IND,7,1,6,15.5,3.1,1.7,54.5,7.7,40.7,0.6,44.0,4.0
92,Danny Green,CLE,4,1,3,13.8,1.3,0.5,40.0,3.8,33.3,0.0,33.3,5.8
93,Danuel House Jr.,PHI,37,24,13,14.8,1.8,0.2,10.8,3.1,56.0,0.2,59.1,7.1
94,Dario Saric,OKC,39,18,21,14.3,3.8,1.4,35.8,6.7,56.5,0.4,59.7,5.2
