,PLAYER,TEAM,GP,W,L,MIN,Passes Made,Passes Received,AST,Secondary AST,Potential AST,AST PTS Created,AST PTS Created.1,AST Adj,AST To Pass%,AST To Pass% Adj
0,A.J. Lawson,DAL,13,5,8,4.8,2.7,3.3,0.1,0.1,0.3,0.2,0.2,2.9,5.7,
1,AJ Green,MIL,25,19,6,8.9,6.8,7.9,0.4,0.1,1.0,1.3,0.6,6.5,8.8,
2,AJ Griffin,ATL,55,25,30,20.4,13.0,15.3,1.0,0.1,1.8,2.5,1.2,7.7,8.9,
3,Aaron Gordon,DEN,49,35,14,30.3,26.6,27.9,2.9,0.4,4.2,7.1,3.4,10.8,12.9,
4,Aaron Holiday,ATL,50,26,24,14.5,15.7,16.6,1.3,0.1,3.0,3.5,1.7,8.3,10.6,
5,Aaron Nesmith,IND,53,22,31,24.5,23.8,19.9,1.2,0.2,2.0,3.3,1.5,5.1,6.3,
6,Aaron Wiggins,OKC,46,25,21,18.4,14.7,13.7,1.3,0.2,2.3,3.7,1.7,9.2,11.4,
7,Admiral Schofield,ORL,27,11,16,13.0,15.9,10.0,0.9,0.0,1.4,2.4,0.9,5.4,5.8,
8,Al Horford,BOS,45,32,13,30.7,37.4,27.9,2.6,0.4,4.6,7.2,3.3,7.1,8.7,
9,Alec Burks,DET,45,12,33,22.1,21.6,25.0,2.2,0.2,3.6,5.2,2.4,10.0,11.2,
10,Aleksej Pokusevski,OKC,31,15,16,21.9,33.9,26.4,2.0,0.2,3.7,5.0,2.3,5.9,6.7,
11,Alex Caruso,CHI,48,19,29,24.3,38.8,30.1,3.2,0.4,5.2,8.5,4.1,8.3,10.6,
12,Alex Len,SAC,13,8,5,3.5,5.2,3.2,0.4,0.0,0.6,0.9,0.4,7.4,7.4,
13,Alize Johnson,SAS,4,1,3,7.4,8.8,5.8,0.3,0.0,1.3,0.8,0.3,2.9,2.9,
14,Alondes Williams,BKN,1,1,0,5.3,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15,Alperen Sengun,HOU,53,10,43,28.3,37.6,35.7,3.7,0.3,6.6,9.5,4.5,9.7,12.0,
16,Amir Coffey,LAC,40,21,19,14.3,10.6,11.8,1.2,0.1,2.2,3.1,1.5,11.5,14.4,
17,Andre Drummond,CHI,45,19,26,12.9,12.0,9.8,0.6,0.0,0.9,1.4,0.6,4.8,5.0,
18,Andre Iguodala,GSW,2,0,2,12.3,19.5,11.5,2.0,0.5,3.0,5.0,2.5,10.3,12.8,
19,Andrew Nembhard,IND,53,23,30,27.1,33.0,35.8,4.2,0.3,8.1,10.9,5.1,12.6,15.4,
20,Andrew Wiggins,GSW,36,18,18,32.3,28.8,33.3,2.3,0.6,4.8,6.3,3.1,8.0,10.9,
21,Anfernee Simons,POR,56,27,29,35.5,46.9,58.9,4.2,1.0,7.4,10.7,5.6,8.9,11.8,
22,Anthony Davis,LAL,35,16,19,33.4,44.3,37.3,2.5,0.2,4.1,6.1,2.8,5.7,6.3,
23,Anthony Edwards,MIN,60,31,29,36.2,46.3,54.8,4.5,0.8,8.0,11.6,5.5,9.8,12.0,
24,Anthony Gill,WAS,41,17,24,10.0,7.2,6.2,0.5,0.0,0.9,1.4,0.6,6.8,8.1,
25,Anthony Lamb,GSW,42,22,20,19.3,25.6,18.9,1.7,0.2,3.6,5.0,2.2,6.6,8.5,
26,Austin Reaves,LAL,41,19,22,27.9,25.1,23.2,2.2,0.2,4.5,5.3,2.6,8.6,10.2,
27,Austin Rivers,MIN,45,23,22,21.1,19.1,19.6,1.6,0.3,2.5,4.1,2.0,8.1,10.3,
28,Ayo Dosunmu,CHI,55,25,30,28.3,38.0,37.7,2.9,0.5,5.3,7.0,3.5,7.6,9.3,
29,Bam Adebayo,MIA,54,29,25,35.3,42.7,43.9,3.3,0.4,5.9,8.4,3.9,7.7,9.0,
30,Ben Simmons,BKN,42,24,18,26.3,52.2,42.3,6.1,0.6,9.5,15.5,7.0,11.7,13.4,
31,Bennedict Mathurin,IND,60,26,34,28.2,24.0,31.2,1.4,0.3,2.8,3.9,1.9,5.9,7.8,
32,Bismack Biyombo,PHX,45,25,20,14.0,18.4,13.0,0.9,0.0,1.5,2.2,1.0,5.0,5.3,
33,Blake Griffin,BOS,26,17,9,14.4,16.3,12.7,1.3,0.1,2.0,3.5,1.4,7.8,8.5,
34,Blake Wesley,SAS,14,2,12,13.5,20.1,21.8,1.4,0.6,3.2,4.0,2.1,7.1,10.7,
35,Boban Marjanovic,HOU,19,1,18,4.4,3.3,3.5,0.2,0.0,0.2,0.5,0.2,6.3,6.3,
36,Bobby Portis,MIL,47,30,17,26.8,37.9,25.0,1.8,0.2,3.1,4.8,2.2,4.8,5.7,
37,Bogdan Bogdanovic,ATL,34,16,18,29.8,27.7,30.4,3.0,0.3,5.2,7.5,3.6,10.9,13.0,
38,Bojan Bogdanovic,DET,55,15,40,32.0,26.3,34.6,2.6,0.4,5.6,6.9,3.3,9.8,12.5,
39,Bol Bol,ORL,54,21,33,23.2,14.3,14.0,0.9,0.1,1.7,2.2,1.0,6.0,7.0,
40,Bones Hyland,LAC,43,29,14,19.4,32.7,38.9,3.0,0.5,5.3,7.5,3.9,9.0,11.8,
41,Bradley Beal,WAS,35,19,16,32.8,42.5,55.4,5.2,0.8,11.1,14.2,6.8,12.2,16.1,
42,Brandon Boston Jr.,LAC,21,8,13,11.7,12.8,14.3,0.9,0.2,2.1,2.1,1.0,7.1,8.2,
43,Brandon Clarke,MEM,51,29,22,20.0,20.6,18.5,1.3,0.2,2.5,3.4,1.6,6.1,7.8,
44,Brandon Ingram,NOP,24,12,12,32.2,39.0,52.6,4.9,0.5,9.9,13.4,6.0,12.5,15.5,
