,PLAYER,TEAM,GP,W,L,MIN,Touches,Paint Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,Pass,Pass%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,12,5,7,4.2,4.1,0.1,0.1,0.1,100.0,0.0,0.0,0.0,0.2,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Green,MIL,24,18,6,9.1,11.2,0.4,0.1,0.2,75.0,0.1,0.1,100.0,0.3,88.9,0.1,33.3,0.0,11.1,0.0,11.1,0.0,11.1
2,AJ Griffin,ATL,52,24,28,20.6,22.3,0.6,0.3,0.3,72.2,0.0,0.0,50.0,0.5,87.1,0.2,35.5,0.1,9.7,0.0,3.2,0.0,3.2
3,Aaron Gordon,DEN,49,35,14,30.3,42.8,7.0,3.6,4.8,75.0,0.9,1.6,56.6,8.2,118.5,0.9,12.9,0.2,2.9,0.2,3.2,0.7,10.3
4,Aaron Holiday,ATL,48,25,23,14.9,21.6,0.4,0.1,0.2,36.4,0.0,0.0,100.0,0.2,50.0,0.1,35.0,0.0,0.0,0.0,0.0,0.0,5.0
5,Aaron Nesmith,IND,49,21,28,24.2,34.0,1.0,0.4,0.7,57.6,0.2,0.2,100.0,0.9,90.2,0.1,13.7,0.0,3.9,0.1,7.8,0.1,5.9
6,Aaron Wiggins,OKC,43,23,20,18.7,21.7,2.0,0.7,1.0,66.7,0.2,0.3,81.8,1.6,83.3,0.6,31.0,0.2,9.5,0.1,6.0,0.1,6.0
7,Admiral Schofield,ORL,27,11,16,13.0,20.0,1.0,0.4,0.7,61.1,0.0,0.1,50.0,0.9,82.1,0.3,28.6,0.1,7.1,0.0,0.0,0.0,3.6
8,Al Horford,BOS,43,30,13,30.8,46.0,2.7,0.7,1.3,55.4,0.1,0.1,75.0,1.5,56.4,1.1,41.0,0.3,11.1,0.1,5.1,0.0,1.7
9,Alec Burks,DET,42,11,31,22.2,35.0,0.4,0.1,0.2,44.4,0.0,0.0,0.0,0.2,60.0,0.1,33.3,0.0,6.7,0.0,6.7,0.0,0.0
10,Aleksej Pokusevski,OKC,31,15,16,21.9,44.4,3.4,1.2,2.1,54.5,0.1,0.2,66.7,2.5,72.4,0.8,23.8,0.1,1.9,0.2,6.7,0.1,2.9
11,Alex Caruso,CHI,46,19,27,24.3,46.4,1.2,0.3,0.5,60.0,0.1,0.1,83.3,0.8,62.5,0.5,42.9,0.2,17.9,0.0,3.6,0.1,5.4
12,Alex Len,SAC,13,8,5,3.5,6.5,0.8,0.3,0.3,100.0,0.1,0.2,50.0,0.7,81.8,0.5,54.5,0.1,9.1,0.0,0.0,0.1,9.1
13,Alize Johnson,SAS,4,1,3,7.4,11.5,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,50.0,0.0,0.0,0.3,25.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,50,10,40,28.3,53.6,7.5,2.5,4.2,59.0,0.5,0.7,70.6,5.7,76.2,2.0,27.0,0.6,8.3,0.4,5.9,0.3,3.5
16,Amir Coffey,LAC,38,20,18,14.2,15.6,0.3,0.1,0.1,50.0,0.0,0.0,0.0,0.1,33.3,0.2,50.0,0.0,8.3,0.0,0.0,0.0,0.0
17,Andre Drummond,CHI,42,19,23,13.0,18.6,4.8,2.0,3.1,64.1,0.4,1.0,40.5,4.5,94.5,0.7,14.0,0.2,3.5,0.3,6.5,0.5,10.5
