,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
0,A.J. Lawson,DAL,12,4.2,5,7,0.0,0.0,0.6,0.3,0.3,100.0
1,AJ Green,MIL,25,8.9,19,6,0.2,0.0,0.9,0.8,1.0,79.2
2,AJ Griffin,ATL,52,20.6,24,28,0.7,0.1,1.6,1.6,2.1,77.3
3,Aaron Gordon,DEN,49,30.3,35,14,0.8,0.8,4.4,1.9,3.2,60.0
4,Aaron Holiday,ATL,48,14.9,25,23,0.6,0.2,0.9,0.8,1.0,76.0
5,Aaron Nesmith,IND,50,24.2,21,29,0.8,0.4,2.9,1.6,2.6,62.6
6,Aaron Wiggins,OKC,44,18.7,24,20,0.5,0.2,2.2,1.3,2.2,58.8
7,Admiral Schofield,ORL,27,13.0,11,16,0.2,0.1,1.2,1.2,1.6,76.2
8,Al Horford,BOS,43,30.8,30,13,0.5,0.9,5.0,2.5,4.7,54.2
9,Alec Burks,DET,43,22.0,12,31,0.7,0.1,2.7,1.9,2.6,71.4
10,Aleksej Pokusevski,OKC,31,21.9,15,16,0.6,1.3,3.6,3.5,5.7,61.0
11,Alex Caruso,CHI,46,24.3,19,27,1.6,0.6,2.5,1.3,2.1,63.9
12,Alex Len,SAC,13,3.5,8,5,0.0,0.0,0.8,0.4,0.7,55.6
13,Alize Johnson,SAS,4,7.4,1,3,0.3,0.0,2.0,0.0,1.8,0.0
14,Alondes Williams,BKN,1,5.3,1,0,0.0,0.0,1.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,51,28.3,10,41,0.8,1.0,5.6,3.9,6.1,64.3
16,Amir Coffey,LAC,39,14.6,20,19,0.2,0.1,0.9,0.7,1.0,69.2
17,Andre Drummond,CHI,42,13.0,19,23,0.7,0.3,4.6,1.5,2.3,66.7
18,Andre Iguodala,GSW,2,12.3,0,2,0.0,0.0,1.0,1.0,1.5,66.7
19,Andrew Nembhard,IND,50,27.4,22,28,1.0,0.2,2.3,1.4,2.1,63.6
20,Andrew Wiggins,GSW,34,32.1,17,17,1.3,0.8,3.4,2.1,3.0,68.9
21,Anfernee Simons,POR,54,35.9,26,28,0.7,0.2,2.4,2.4,3.3,73.6
22,Anthony Davis,LAL,32,33.5,14,18,1.3,1.9,8.7,4.0,6.9,57.7
23,Anthony Edwards,MIN,59,36.2,30,29,1.6,0.6,5.3,2.2,3.1,72.4
24,Anthony Gill,WAS,38,10.4,15,23,0.1,0.2,0.9,0.7,1.2,63.6
25,Anthony Lamb,GSW,41,19.2,22,19,0.5,0.2,2.5,2.4,3.5,68.1
26,Austin Reaves,LAL,38,28.2,17,21,0.6,0.4,2.4,1.9,2.4,76.3
27,Austin Rivers,MIN,44,21.1,22,22,0.6,0.1,1.7,0.8,1.0,77.3
28,Ayo Dosunmu,CHI,52,28.0,25,27,0.7,0.4,2.4,1.5,2.4,63.7
29,Bam Adebayo,MIA,51,35.2,28,23,1.2,0.8,7.2,2.6,4.1,62.6
30,Ben Simmons,BKN,39,27.1,23,16,1.4,0.6,5.5,1.8,3.2,56.9
31,Bennedict Mathurin,IND,57,28.2,25,32,0.6,0.1,3.0,1.7,2.5,70.0
32,Bismack Biyombo,PHX,45,14.0,25,20,0.3,1.3,2.9,1.6,3.6,43.9
33,Blake Griffin,BOS,24,13.4,16,8,0.3,0.1,2.4,1.2,1.6,74.4
34,Blake Wesley,SAS,11,13.4,2,9,0.3,0.1,1.2,0.8,1.1,75.0
35,Boban Marjanovic,HOU,17,4.2,1,16,0.1,0.1,1.1,0.4,0.5,77.8
36,Bobby Portis,MIL,47,26.8,30,17,0.5,0.2,7.5,2.4,3.4,70.4
37,Bogdan Bogdanovic,ATL,31,30.1,15,16,0.8,0.3,3.0,2.0,2.7,73.5
38,Bojan Bogdanovic,DET,53,31.9,15,38,0.6,0.1,3.0,1.9,2.5,75.6
39,Bol Bol,ORL,51,23.6,20,31,0.5,1.4,5.1,2.1,3.1,66.9
40,Bones Hyland,LAC,42,19.5,28,14,0.7,0.3,1.8,1.5,1.9,83.3
41,Bradley Beal,WAS,32,32.8,17,15,0.8,0.7,2.7,1.4,2.0,70.8
42,Brandon Boston Jr.,LAC,20,12.2,7,13,0.5,0.0,1.1,0.9,1.3,69.2
43,Brandon Clarke,MEM,49,19.7,28,21,0.6,0.7,4.0,1.7,3.2,54.8
44,Brandon Ingram,NOP,22,32.1,11,11,0.8,0.5,4.6,1.5,2.4,63.5
45,Braxton Key,DET,3,3.0,0,3,0.0,0.0,0.3,0.0,0.0,0.0
46,Brook Lopez,MIL,55,30.4,38,17,0.5,2.5,4.6,4.0,7.9,51.4
