,PLAYER,TEAM,GP,W,L,MIN,Touches,Post Ups,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,12,5,7,4.2,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Green,MIL,25,19,6,8.9,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AJ Griffin,ATL,53,25,28,20.6,22.2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Aaron Gordon,DEN,49,35,14,30.3,42.8,2.3,0.6,1.2,50.9,0.5,0.7,71.9,1.7,75.7,0.5,21.6,0.1,3.6,0.1,6.3,0.3,13.5
4,Aaron Holiday,ATL,49,26,23,14.6,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Aaron Nesmith,IND,51,21,30,24.3,34.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Aaron Wiggins,OKC,44,24,20,18.7,21.6,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Admiral Schofield,ORL,27,11,16,13.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Al Horford,BOS,43,30,13,30.8,46.0,1.0,0.2,0.4,52.9,0.0,0.0,0.0,0.4,40.9,0.4,38.6,0.1,11.4,0.1,11.4,0.0,0.0
9,Alec Burks,DET,43,12,31,22.0,34.8,0.3,0.1,0.2,57.1,0.0,0.0,0.0,0.2,61.5,0.1,38.5,0.0,0.0,0.0,0.0,0.0,0.0
10,Aleksej Pokusevski,OKC,31,15,16,21.9,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Alex Caruso,CHI,47,19,28,24.2,46.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Alex Len,SAC,13,8,5,3.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Alize Johnson,SAS,4,1,3,7.4,11.5,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,51,10,41,28.3,53.7,4.2,0.9,1.7,56.5,0.4,0.6,70.0,2.3,54.7,1.5,36.9,0.4,9.3,0.3,6.1,0.3,7.0
16,Amir Coffey,LAC,39,20,19,14.6,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Andre Drummond,CHI,43,19,24,12.9,18.6,0.4,0.1,0.2,50.0,0.0,0.0,50.0,0.2,56.3,0.1,37.5,0.0,6.3,0.0,0.0,0.0,6.3
18,Andre Iguodala,GSW,2,0,2,12.3,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Andrew Nembhard,IND,51,22,29,27.3,44.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,50.0,0.0,0.0
20,Andrew Wiggins,GSW,35,17,18,32.1,45.8,1.6,0.4,0.7,54.2,0.1,0.1,50.0,0.8,50.0,0.7,44.6,0.2,10.7,0.0,1.8,0.1,3.6
21,Anfernee Simons,POR,54,26,28,35.9,69.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Anthony Davis,LAL,33,15,18,33.5,68.1,5.6,1.4,2.9,48.5,1.2,1.4,82.6,4.0,72.3,1.3,22.8,0.3,4.9,0.3,5.4,0.7,12.5
23,Anthony Edwards,MIN,59,30,29,36.2,72.9,0.5,0.2,0.3,56.3,0.1,0.1,50.0,0.4,77.4,0.1,25.8,0.1,12.9,0.0,6.5,0.1,9.7
24,Anthony Gill,WAS,39,16,23,10.2,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Anthony Lamb,GSW,41,22,19,19.2,32.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,93.3,0.0,13.3,0.0,0.0,0.0,0.0
26,Austin Reaves,LAL,39,18,21,28.1,35.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Austin Rivers,MIN,44,22,22,21.1,24.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Ayo Dosunmu,CHI,53,25,28,28.0,48.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Bam Adebayo,MIA,52,29,23,35.3,64.8,2.7,0.7,1.3,50.0,0.3,0.4,81.0,1.6,61.2,0.8,29.5,0.2,7.2,0.2,8.6,0.2,7.9
30,Ben Simmons,BKN,40,23,17,26.8,62.3,1.1,0.3,0.5,50.0,0.0,0.1,0.0,0.5,44.4,0.6,48.9,0.3,22.2,0.0,2.2,0.0,2.2
31,Bennedict Mathurin,IND,58,25,33,28.2,42.4,0.1,0.0,0.1,0.0,0.0,0.0,100.0,0.0,33.3,0.0,16.7,0.0,0.0,0.0,0.0,0.0,16.7
32,Bismack Biyombo,PHX,45,25,20,14.0,22.9,0.9,0.1,0.4,31.6,0.0,0.1,16.7,0.3,32.5,0.2,22.5,0.0,0.0,0.1,12.5,0.1,7.5
33,Blake Griffin,BOS,24,16,8,13.4,19.0,0.4,0.0,0.1,33.3,0.0,0.1,50.0,0.2,40.0,0.2,40.0,0.0,0.0,0.0,0.0,0.0,10.0
34,Blake Wesley,SAS,12,2,10,12.8,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Boban Marjanovic,HOU,17,1,16,4.2,5.6,1.2,0.5,0.9,56.3,0.0,0.0,0.0,1.3,110.0,0.2,15.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Bobby Portis,MIL,47,30,17,26.8,52.6,3.2,1.0,1.9,52.8,0.1,0.2,75.0,2.1,66.4,0.9,28.3,0.1,4.6,0.1,3.9,0.1,2.6
37,Bogdan Bogdanovic,ATL,32,16,16,30.0,43.2,0.1,0.0,0.1,50.0,0.0,0.0,0.0,0.1,50.0,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Bojan Bogdanovic,DET,53,15,38,31.9,46.5,1.0,0.2,0.5,36.0,0.2,0.2,100.0,0.5,53.7,0.2,24.1,0.0,0.0,0.1,13.0,0.1,9.3
39,Bol Bol,ORL,52,20,32,23.5,25.1,0.2,0.0,0.1,40.0,0.0,0.0,100.0,0.1,66.7,0.0,22.2,0.0,11.1,0.0,0.0,0.0,11.1
40,Bones Hyland,LAC,42,28,14,19.5,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Bradley Beal,WAS,33,18,15,32.7,66.4,0.7,0.1,0.3,33.3,0.0,0.0,0.0,0.2,25.0,0.2,33.3,0.0,4.2,0.1,16.7,0.0,0.0
