,PLAYER,TEAM,GP,W,L,MIN,Passes Made,Passes Received,AST,Secondary AST,Potential AST,AST PTS Created,AST PTS Created.1,AST Adj,AST To Pass%,AST To Pass% Adj
0,A.J. Lawson,DAL,12,5,7,4.2,2.3,2.9,0.1,0.0,0.3,0.3,0.1,3.7,3.7,
1,AJ Green,MIL,25,19,6,8.9,6.8,7.9,0.4,0.1,1.0,1.3,0.6,6.5,8.8,
2,AJ Griffin,ATL,53,25,28,20.6,13.2,15.4,1.0,0.1,1.8,2.6,1.2,7.7,9.0,
3,Aaron Gordon,DEN,49,35,14,30.3,26.6,27.9,2.9,0.4,4.2,7.1,3.4,10.8,12.9,
4,Aaron Holiday,ATL,49,26,23,14.6,15.8,16.8,1.3,0.1,2.9,3.6,1.7,8.4,10.6,
5,Aaron Nesmith,IND,51,21,30,24.3,23.5,19.7,1.2,0.2,2.0,3.2,1.5,5.2,6.4,
6,Aaron Wiggins,OKC,44,24,20,18.7,15.0,14.0,1.4,0.2,2.4,3.8,1.7,9.3,11.5,
7,Admiral Schofield,ORL,27,11,16,13.0,15.9,10.0,0.9,0.0,1.4,2.4,0.9,5.4,5.8,
8,Al Horford,BOS,43,30,13,30.8,37.2,27.6,2.7,0.4,4.6,7.2,3.3,7.1,8.8,
9,Alec Burks,DET,43,12,31,22.0,21.7,25.1,2.1,0.2,3.6,5.2,2.4,9.9,11.1,
10,Aleksej Pokusevski,OKC,31,15,16,21.9,33.9,26.4,2.0,0.2,3.7,5.0,2.3,5.9,6.7,
11,Alex Caruso,CHI,47,19,28,24.2,38.7,30.2,3.2,0.4,5.2,8.6,4.1,8.3,10.7,
12,Alex Len,SAC,13,8,5,3.5,5.2,3.2,0.4,0.0,0.6,0.9,0.4,7.4,7.4,
13,Alize Johnson,SAS,4,1,3,7.4,8.8,5.8,0.3,0.0,1.3,0.8,0.3,2.9,2.9,
14,Alondes Williams,BKN,1,1,0,5.3,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15,Alperen Sengun,HOU,51,10,41,28.3,37.4,35.5,3.7,0.3,6.6,9.6,4.5,10.0,12.1,
16,Amir Coffey,LAC,39,20,19,14.6,10.9,11.9,1.3,0.1,2.3,3.2,1.6,11.6,14.4,
17,Andre Drummond,CHI,43,19,24,12.9,12.1,10.0,0.6,0.0,0.9,1.4,0.6,5.0,5.2,
18,Andre Iguodala,GSW,2,0,2,12.3,19.5,11.5,2.0,0.5,3.0,5.0,2.5,10.3,12.8,
19,Andrew Nembhard,IND,51,22,29,27.3,33.2,36.3,4.2,0.3,8.2,10.9,5.1,12.5,15.3,
20,Andrew Wiggins,GSW,35,17,18,32.1,28.5,33.0,2.3,0.6,4.8,6.1,3.1,7.9,10.9,
21,Anfernee Simons,POR,54,26,28,35.9,47.3,59.5,4.2,1.1,7.4,10.6,5.6,8.9,11.8,
22,Anthony Davis,LAL,33,15,18,33.5,44.4,37.4,2.5,0.2,3.9,6.0,2.7,5.6,6.1,
23,Anthony Edwards,MIN,59,30,29,36.2,46.4,54.8,4.6,0.8,8.1,11.7,5.6,9.9,12.1,
24,Anthony Gill,WAS,39,16,23,10.2,7.4,6.3,0.5,0.1,0.9,1.5,0.6,6.9,8.3,
25,Anthony Lamb,GSW,41,22,19,19.2,25.4,18.8,1.7,0.2,3.6,4.9,2.1,6.5,8.4,
26,Austin Reaves,LAL,39,18,21,28.1,25.1,23.2,2.2,0.3,4.4,5.3,2.5,8.6,10.1,
27,Austin Rivers,MIN,44,22,22,21.1,19.2,19.8,1.6,0.3,2.6,4.2,2.0,8.3,10.4,
28,Ayo Dosunmu,CHI,53,25,28,28.0,37.4,37.3,2.8,0.5,5.2,6.8,3.5,7.6,9.3,
29,Bam Adebayo,MIA,52,29,23,35.3,42.5,43.5,3.3,0.4,5.8,8.3,3.8,7.7,8.9,
30,Ben Simmons,BKN,40,23,17,26.8,52.8,42.8,6.3,0.7,9.7,15.7,7.1,11.8,13.5,
31,Bennedict Mathurin,IND,58,25,33,28.2,23.9,31.2,1.4,0.3,2.8,3.9,1.9,5.8,7.8,
32,Bismack Biyombo,PHX,45,25,20,14.0,18.4,13.0,0.9,0.0,1.5,2.2,1.0,5.0,5.3,
33,Blake Griffin,BOS,24,16,8,13.4,14.9,11.4,1.1,0.0,1.8,3.0,1.2,7.3,7.8,
34,Blake Wesley,SAS,12,2,10,12.8,20.0,21.6,1.4,0.5,3.1,4.1,2.1,7.1,10.4,
35,Boban Marjanovic,HOU,17,1,16,4.2,3.4,3.5,0.2,0.0,0.2,0.5,0.2,7.0,7.0,
36,Bobby Portis,MIL,47,30,17,26.8,37.9,25.0,1.8,0.2,3.1,4.8,2.2,4.8,5.7,
37,Bogdan Bogdanovic,ATL,32,16,16,30.0,27.5,30.6,3.1,0.3,5.2,7.6,3.6,11.1,13.1,
38,Bojan Bogdanovic,DET,53,15,38,31.9,26.1,34.4,2.6,0.4,5.5,6.9,3.3,9.8,12.5,
39,Bol Bol,ORL,52,20,32,23.5,14.4,14.1,0.8,0.1,1.7,2.2,1.0,5.9,7.0,
40,Bones Hyland,LAC,42,28,14,19.5,32.8,39.1,3.0,0.5,5.4,7.6,3.9,9.1,11.9,
41,Bradley Beal,WAS,33,18,15,32.7,42.8,55.4,5.2,0.8,11.2,14.5,7.0,12.2,16.3,
42,Brandon Boston Jr.,LAC,20,7,13,12.2,13.2,14.9,1.0,0.2,2.2,2.3,1.1,7.2,8.4,
43,Brandon Clarke,MEM,49,28,21,19.7,20.4,18.4,1.2,0.2,2.5,3.4,1.6,6.1,7.9,
44,Brandon Ingram,NOP,22,11,11,32.1,39.4,52.2,5.2,0.5,10.2,14.3,6.4,13.3,16.3,
45,Braxton Key,DET,3,0,3,3.0,2.7,1.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,
46,Brook Lopez,MIL,55,38,17,30.4,20.8,21.8,1.2,0.2,2.2,3.3,1.5,5.9,7.2,
47,Bruce Brown,DEN,56,39,17,28.7,40.6,39.3,3.6,0.5,5.4,8.8,4.2,8.9,10.4,
48,Bruno Fernando,ATL,31,9,22,11.7,16.6,11.3,1.0,0.1,1.7,2.6,1.1,5.8,6.8,
49,Bryce McGowens,CHA,24,6,18,14.1,10.5,9.8,1.0,0.1,1.6,2.2,1.2,9.2,11.2,
50,Bryn Forbes,MIN,25,9,16,10.7,7.5,8.9,0.7,0.1,1.0,1.8,0.8,9.1,11.2,
51,Buddy Boeheim,DET,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
52,Buddy Hield,IND,58,25,33,32.1,42.6,40.1,2.7,0.6,5.2,7.1,3.7,6.4,8.6,
53,CJ McCollum,NOP,51,26,25,35.0,50.8,65.3,5.8,0.7,10.7,15.3,7.5,11.5,14.7,
54,Cade Cunningham,DET,12,3,9,33.3,50.3,65.8,6.0,0.4,12.6,17.3,8.3,11.9,16.4,
55,Caleb Houstan,ORL,32,11,21,16.4,9.4,7.2,0.6,0.1,0.9,1.5,0.6,6.0,6.6,
56,Caleb Martin,MIA,47,26,21,30.3,28.5,26.6,1.7,0.3,3.6,4.7,2.2,5.8,7.7,
57,Cam Reddish,POR,21,9,12,21.7,11.1,14.9,1.0,0.0,2.0,2.5,1.1,9.4,10.3,
58,Cam Thomas,BKN,39,24,15,16.4,17.9,23.3,1.5,0.3,2.6,3.7,1.9,8.6,10.4,
59,Cameron Johnson,BKN,18,13,5,25.4,22.2,22.2,1.6,0.2,3.0,4.4,2.3,7.3,10.3,
60,Cameron Payne,PHX,28,15,13,24.0,43.1,46.6,5.3,0.8,9.9,12.9,6.5,12.3,15.2,
