,PLAYER,TEAM,GP,W,L,MIN,REB,Contested REB,Contested REB%,REB Chances,REB Chance%,Deferred REB Chances,Adjusted REB Chance%,AVG REB Distance
0,A.J. Lawson,DAL,12,5,7,4.2,0.7,0.3,50.0,1.2,57.1,0.2,66.7,5.5
1,AJ Green,MIL,25,19,6,8.9,1.0,0.4,34.6,2.1,50.0,0.2,54.2,8.1
2,AJ Griffin,ATL,54,25,29,20.5,2.1,0.5,24.1,3.8,55.2,0.2,58.3,8.9
3,Aaron Gordon,DEN,49,35,14,30.3,6.9,3.1,45.8,11.0,62.3,0.6,65.9,5.8
4,Aaron Holiday,ATL,49,26,23,14.6,1.3,0.3,21.9,2.7,47.8,0.2,51.6,9.8
5,Aaron Nesmith,IND,52,21,31,24.4,3.7,1.1,30.2,7.9,46.8,0.7,51.6,6.8
6,Aaron Wiggins,OKC,45,24,21,18.6,3.2,1.4,43.1,5.9,54.3,0.5,59.0,7.3
7,Admiral Schofield,ORL,27,11,16,13.0,1.9,0.8,40.4,4.8,40.3,0.3,43.3,6.5
8,Al Horford,BOS,44,31,13,30.7,6.2,2.1,33.7,10.6,58.7,1.0,64.5,6.3
9,Alec Burks,DET,44,12,32,22.2,3.0,0.8,26.0,5.0,59.3,0.2,61.8,7.9
10,Aleksej Pokusevski,OKC,31,15,16,21.9,5.1,2.3,45.9,9.8,51.5,1.1,57.9,5.0
11,Alex Caruso,CHI,47,19,28,24.2,3.2,0.6,18.8,5.8,54.4,0.4,58.9,9.5
12,Alex Len,SAC,13,8,5,3.5,1.2,0.5,40.0,1.9,60.0,0.0,60.0,6.4
13,Alize Johnson,SAS,4,1,3,7.4,2.5,0.8,30.0,4.5,55.6,0.3,58.8,3.8
14,Alondes Williams,BKN,1,1,0,5.3,1.0,0.0,0.0,1.0,100.0,0.0,100.0,7.0
15,Alperen Sengun,HOU,52,10,42,28.4,8.7,4.0,45.8,16.0,54.7,1.3,59.3,5.3
16,Amir Coffey,LAC,40,21,19,14.3,1.3,0.3,21.6,2.6,48.6,0.2,52.0,10.2
17,Andre Drummond,CHI,44,19,25,13.0,6.7,3.6,53.7,9.7,69.2,0.4,72.0,4.2
18,Andre Iguodala,GSW,2,0,2,12.2,1.5,0.0,0.0,3.0,50.0,0.5,60.0,4.7
19,Andrew Nembhard,IND,52,22,30,27.2,2.8,0.6,19.9,5.1,55.3,0.4,60.3,10.1
20,Andrew Wiggins,GSW,36,18,18,32.3,5.0,1.6,32.6,9.8,51.4,0.8,55.9,7.1
21,Anfernee Simons,POR,56,27,29,35.5,2.7,0.6,20.7,4.9,54.3,0.4,59.8,9.4
22,Anthony Davis,LAL,34,15,19,33.5,12.4,7.0,56.5,19.8,62.6,1.4,67.1,4.4
23,Anthony Edwards,MIN,60,31,29,36.2,5.9,1.3,21.1,10.1,58.6,0.7,63.2,6.8
24,Anthony Gill,WAS,41,17,24,10.0,1.4,0.5,36.8,2.8,50.4,0.2,55.3,6.0
25,Anthony Lamb,GSW,42,22,20,19.3,3.2,1.1,35.1,6.8,46.9,0.7,51.9,6.3
26,Austin Reaves,LAL,40,18,22,28.0,3.0,0.4,12.5,5.9,50.6,0.7,57.1,9.2
27,Austin Rivers,MIN,45,23,22,21.1,1.8,0.2,12.7,3.1,56.0,0.2,60.3,9.7
28,Ayo Dosunmu,CHI,54,25,29,28.1,3.0,0.6,21.3,5.7,53.6,0.7,60.7,10.4
29,Bam Adebayo,MIA,53,29,24,35.3,9.9,4.4,44.1,16.7,59.4,1.1,63.4,5.7
30,Ben Simmons,BKN,41,23,18,26.5,6.3,1.9,29.7,9.9,63.6,0.7,68.3,6.3
31,Bennedict Mathurin,IND,59,25,34,28.3,4.1,1.2,29.8,8.0,51.5,0.5,55.1,8.3
32,Bismack Biyombo,PHX,45,25,20,14.0,4.1,1.7,42.6,7.8,52.1,0.6,56.3,5.0
