,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
0,A.J. Lawson,DAL,13,4.8,5,8,0.1,0.0,0.6,0.4,0.4,100.0
1,AJ Green,MIL,25,8.9,19,6,0.2,0.0,0.9,0.8,1.0,79.2
2,AJ Griffin,ATL,55,20.4,25,30,0.7,0.1,1.6,1.6,2.1,77.4
3,Aaron Gordon,DEN,49,30.3,35,14,0.8,0.8,4.4,1.9,3.2,60.0
4,Aaron Holiday,ATL,50,14.5,26,24,0.5,0.2,0.9,0.8,1.0,76.5
5,Aaron Nesmith,IND,53,24.5,22,31,0.8,0.4,2.9,1.6,2.6,61.9
6,Aaron Wiggins,OKC,46,18.4,25,21,0.5,0.2,2.1,1.3,2.1,59.2
7,Admiral Schofield,ORL,27,13.0,11,16,0.2,0.1,1.2,1.2,1.6,76.2
8,Al Horford,BOS,45,30.7,32,13,0.5,0.9,5.0,2.5,4.5,54.4
9,Alec Burks,DET,45,22.1,12,33,0.7,0.1,2.6,1.8,2.5,71.7
10,Aleksej Pokusevski,OKC,31,21.9,15,16,0.6,1.3,3.6,3.5,5.7,61.0
11,Alex Caruso,CHI,48,24.3,19,29,1.6,0.6,2.5,1.3,2.1,63.4
12,Alex Len,SAC,13,3.5,8,5,0.0,0.0,0.8,0.4,0.7,55.6
13,Alize Johnson,SAS,4,7.4,1,3,0.3,0.0,2.0,0.0,1.8,0.0
14,Alondes Williams,BKN,1,5.3,1,0,0.0,0.0,1.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,53,28.3,10,43,0.8,1.0,5.6,3.9,6.1,64.7
16,Amir Coffey,LAC,40,14.3,21,19,0.2,0.1,0.9,0.7,1.0,69.2
17,Andre Drummond,CHI,45,12.9,19,26,0.7,0.3,4.6,1.4,2.2,65.0
18,Andre Iguodala,GSW,2,12.3,0,2,0.0,0.0,1.0,1.0,1.5,66.7
19,Andrew Nembhard,IND,53,27.1,23,30,1.0,0.2,2.3,1.3,2.1,64.5
20,Andrew Wiggins,GSW,36,32.3,18,18,1.2,0.7,3.4,2.2,3.1,69.6
21,Anfernee Simons,POR,56,35.5,27,29,0.7,0.2,2.4,2.4,3.2,73.9
22,Anthony Davis,LAL,35,33.4,16,19,1.2,2.0,9.1,3.9,6.9,57.5
23,Anthony Edwards,MIN,60,36.2,31,29,1.6,0.6,5.3,2.2,3.0,72.5
24,Anthony Gill,WAS,41,10.0,17,24,0.1,0.2,0.9,0.7,1.1,63.8
25,Anthony Lamb,GSW,42,19.3,22,20,0.5,0.2,2.5,2.4,3.5,68.5
26,Austin Reaves,LAL,41,27.9,19,22,0.5,0.4,2.4,1.8,2.3,77.1
27,Austin Rivers,MIN,45,21.1,23,22,0.6,0.1,1.7,0.8,1.0,78.7
28,Ayo Dosunmu,CHI,55,28.3,25,30,0.7,0.4,2.4,1.6,2.4,65.7
29,Bam Adebayo,MIA,54,35.3,29,25,1.2,0.8,7.3,2.7,4.2,63.2
30,Ben Simmons,BKN,42,26.3,24,18,1.3,0.6,5.3,1.7,3.0,57.5
31,Bennedict Mathurin,IND,60,28.2,26,34,0.6,0.1,3.0,1.8,2.5,70.0
32,Bismack Biyombo,PHX,45,14.0,25,20,0.3,1.3,2.9,1.6,3.6,43.9
33,Blake Griffin,BOS,26,14.4,17,9,0.3,0.2,2.5,1.2,1.7,71.1
