,PLAYER,TEAM,GP,W,L,MIN,PTS,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%
0,A.J. Lawson,DAL,12,5,7,4.2,2.0,0.0,0.0,1.3,41.7,0.0,0.0,0.2,100.0,0.0,0.0,0.0,0.0,57.5
1,AJ Green,MIL,25,19,6,8.9,4.2,0.1,100.0,2.9,44.4,1.0,38.5,0.3,75.0,0.0,0.0,0.0,0.0,60.7
2,AJ Griffin,ATL,53,25,28,20.6,9.4,2.1,50.5,3.6,38.8,3.1,51.1,0.5,72.2,0.0,100.0,0.4,73.3,58.0
3,Aaron Gordon,DEN,49,35,14,30.3,17.3,2.5,58.3,2.0,35.8,1.8,39.8,8.2,75.0,1.7,50.9,0.9,58.3,63.3
4,Aaron Holiday,ATL,49,26,23,14.6,4.3,1.4,42.9,1.5,43.1,0.9,39.2,0.2,41.7,0.0,0.0,0.0,25.0,50.8
5,Aaron Nesmith,IND,51,21,30,24.3,9.4,2.0,43.2,3.8,34.7,0.9,32.7,0.9,57.6,0.0,0.0,0.3,80.0,49.5
6,Aaron Wiggins,OKC,44,24,20,18.7,6.5,1.4,48.1,2.0,38.7,0.2,33.3,1.6,64.6,0.0,100.0,0.2,40.0,57.0
7,Admiral Schofield,ORL,27,11,16,13.0,4.6,0.9,60.0,2.0,36.0,0.0,0.0,0.9,61.1,0.0,0.0,0.3,66.7,57.6
8,Al Horford,BOS,43,30,13,30.8,9.1,0.7,59.1,6.0,40.2,0.3,41.7,1.5,55.4,0.4,52.9,0.3,42.9,59.7
9,Alec Burks,DET,43,12,31,22.0,13.0,3.3,51.1,3.2,44.2,5.1,42.1,0.2,44.4,0.2,57.1,0.2,42.9,55.1
10,Aleksej Pokusevski,OKC,31,15,16,21.9,8.8,1.1,34.2,3.8,38.5,0.4,27.8,2.5,54.5,0.0,0.0,1.0,65.2,51.9
11,Alex Caruso,CHI,47,19,28,24.2,5.6,0.8,36.7,2.4,41.1,0.2,18.2,0.7,60.0,0.0,0.0,0.2,40.0,54.5
12,Alex Len,SAC,13,8,5,3.5,1.0,0.0,0.0,0.0,0.0,0.2,100.0,0.7,100.0,0.0,0.0,0.5,40.0,50.0
13,Alize Johnson,SAS,4,1,3,7.4,1.8,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
14,Alondes Williams,BKN,1,1,0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,51,10,41,28.3,15.3,3.0,57.6,0.9,35.3,0.4,47.8,5.7,59.3,2.3,56.5,3.1,53.0,57.8
16,Amir Coffey,LAC,39,20,19,14.6,4.1,1.7,41.8,0.7,31.3,0.5,29.4,0.1,50.0,0.0,0.0,0.0,0.0,42.5
17,Andre Drummond,CHI,43,19,24,12.9,6.5,0.2,37.5,0.0,0.0,0.0,100.0,4.5,64.4,0.2,50.0,1.2,58.3,63.0
18,Andre Iguodala,GSW,2,0,2,12.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,100.0
19,Andrew Nembhard,IND,51,22,29,27.3,8.3,2.2,41.0,2.9,34.7,2.2,35.6,0.3,57.1,0.0,0.0,0.2,66.7,50.0
20,Andrew Wiggins,GSW,35,17,18,32.1,16.8,1.5,34.9,7.0,43.8,2.3,33.9,3.2,62.2,0.8,54.2,0.6,56.3,55.7
21,Anfernee Simons,POR,54,26,28,35.9,21.6,5.6,53.6,6.4,40.2,7.3,39.8,0.6,68.2,0.0,0.0,0.4,69.2,55.7
22,Anthony Davis,LAL,33,15,18,33.5,26.2,2.0,50.0,2.3,31.0,2.1,41.5,13.7,70.2,4.0,48.5,3.7,54.3,57.1
23,Anthony Edwards,MIN,59,30,29,36.2,24.6,9.2,53.5,3.4,42.1,7.1,35.1,0.8,74.2,0.4,56.3,0.4,69.2,53.3
24,Anthony Gill,WAS,39,16,23,10.2,3.1,0.4,45.5,0.3,25.0,0.1,14.3,1.5,82.4,0.0,0.0,0.3,75.0,61.9
25,Anthony Lamb,GSW,41,22,19,19.2,7.0,0.8,76.5,3.8,40.5,0.3,35.7,1.0,64.5,0.0,0.0,0.2,57.1,62.7
26,Austin Reaves,LAL,39,18,21,28.1,10.6,3.2,56.5,3.3,38.3,1.7,42.3,0.7,58.8,0.0,0.0,0.3,55.6,57.9
27,Austin Rivers,MIN,44,22,22,21.1,5.5,2.0,57.6,2.5,39.4,0.2,15.8,0.1,50.0,0.0,0.0,0.1,100.0,56.7
28,Ayo Dosunmu,CHI,53,25,28,28.0,9.5,2.9,62.5,2.5,33.1,0.6,39.0,0.8,64.3,0.0,0.0,0.3,85.7,56.3
29,Bam Adebayo,MIA,52,29,23,35.3,21.6,4.4,52.5,2.3,46.8,2.8,43.1,7.6,62.0,1.6,50.0,5.1,58.9,54.7
30,Ben Simmons,BKN,40,23,17,26.8,7.2,1.8,52.5,0.1,40.0,0.2,23.5,3.5,71.3,0.5,50.0,0.8,51.7,56.7
31,Bennedict Mathurin,IND,58,25,33,28.2,17.2,6.1,44.8,2.4,29.3,2.7,34.5,1.9,63.2,0.0,0.0,1.2,70.0,47.8
32,Bismack Biyombo,PHX,45,25,20,14.0,3.8,0.0,0.0,0.1,33.3,0.0,50.0,3.0,60.2,0.3,31.6,0.9,50.0,56.6
33,Blake Griffin,BOS,24,16,8,13.4,4.3,0.1,33.3,1.9,42.9,0.0,0.0,1.7,75.0,0.2,33.3,0.6,66.7,61.0
34,Blake Wesley,SAS,12,2,10,12.8,4.3,1.1,35.3,1.8,50.0,0.5,17.6,0.3,33.3,0.0,0.0,0.3,50.0,47.0
35,Boban Marjanovic,HOU,17,1,16,4.2,2.8,0.0,0.0,0.1,50.0,0.2,33.3,1.6,91.7,1.3,56.3,0.8,100.0,66.7
36,Bobby Portis,MIL,47,30,17,26.8,14.4,1.7,56.9,4.7,40.2,1.7,38.1,4.1,62.4,2.1,52.8,0.9,67.7,55.1
37,Bogdan Bogdanovic,ATL,32,16,16,30.0,14.9,3.7,53.8,6.5,39.7,4.8,40.9,0.3,37.5,0.1,50.0,0.3,45.5,53.5
38,Bojan Bogdanovic,DET,53,15,38,31.9,21.4,6.1,55.2,6.0,46.8,5.4,42.9,0.7,46.9,0.5,36.0,0.8,58.6,56.8
39,Bol Bol,ORL,52,20,32,23.5,10.6,2.6,55.7,1.1,33.9,1.5,37.6,3.1,83.3,0.1,40.0,0.5,84.6,61.5
40,Bones Hyland,LAC,42,28,14,19.5,12.1,3.0,35.8,3.1,37.3,4.2,34.8,0.1,40.0,0.0,0.0,0.1,75.0,50.3
41,Bradley Beal,WAS,33,18,15,32.7,22.5,9.1,57.7,3.7,43.1,6.8,47.9,1.7,65.7,0.2,33.3,1.1,45.5,57.1
