,PLAYER,TEAM,GP,W,L,MIN,Touches,Paint Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,Pass,Pass%,AST,AST%,TO,TOV%,PF,PF%
0,A.J. Lawson,DAL,12,5,7,4.2,4.1,0.1,0.1,0.1,100.0,0.0,0.0,0.0,0.2,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Green,MIL,25,19,6,8.9,10.9,0.4,0.1,0.2,75.0,0.1,0.1,100.0,0.3,88.9,0.1,33.3,0.0,11.1,0.0,11.1,0.0,11.1
2,AJ Griffin,ATL,53,25,28,20.6,22.2,0.6,0.2,0.3,72.2,0.0,0.0,50.0,0.5,87.1,0.2,35.5,0.1,9.7,0.0,3.2,0.0,3.2
3,Aaron Gordon,DEN,49,35,14,30.3,42.8,7.0,3.6,4.8,75.0,0.9,1.6,56.6,8.2,118.5,0.9,12.9,0.2,2.9,0.2,3.2,0.7,10.3
4,Aaron Holiday,ATL,49,26,23,14.6,21.2,0.4,0.1,0.2,41.7,0.0,0.0,100.0,0.2,57.1,0.1,33.3,0.0,0.0,0.0,0.0,0.0,4.8
5,Aaron Nesmith,IND,51,21,30,24.3,34.1,1.1,0.4,0.6,57.6,0.2,0.2,100.0,0.9,83.6,0.2,18.2,0.0,3.6,0.1,9.1,0.1,5.5
6,Aaron Wiggins,OKC,44,24,20,18.7,21.6,2.0,0.7,1.1,64.6,0.2,0.3,81.8,1.6,82.8,0.6,29.9,0.2,9.2,0.1,5.7,0.1,5.7
7,Admiral Schofield,ORL,27,11,16,13.0,20.0,1.0,0.4,0.7,61.1,0.0,0.1,50.0,0.9,82.1,0.3,28.6,0.1,7.1,0.0,0.0,0.0,3.6
8,Al Horford,BOS,43,30,13,30.8,46.0,2.7,0.7,1.3,55.4,0.1,0.1,75.0,1.5,56.4,1.1,41.0,0.3,11.1,0.1,5.1,0.0,1.7
9,Alec Burks,DET,43,12,31,22.0,34.8,0.4,0.1,0.2,44.4,0.0,0.0,0.0,0.2,56.3,0.1,37.5,0.0,6.3,0.0,6.3,0.0,0.0
10,Aleksej Pokusevski,OKC,31,15,16,21.9,44.4,3.4,1.2,2.1,54.5,0.1,0.2,66.7,2.5,72.4,0.8,23.8,0.1,1.9,0.2,6.7,0.1,2.9
11,Alex Caruso,CHI,47,19,28,24.2,46.2,1.2,0.3,0.5,60.0,0.1,0.1,83.3,0.7,62.5,0.5,42.9,0.2,17.9,0.0,3.6,0.1,5.4
12,Alex Len,SAC,13,8,5,3.5,6.5,0.8,0.3,0.3,100.0,0.1,0.2,50.0,0.7,81.8,0.5,54.5,0.1,9.1,0.0,0.0,0.1,9.1
13,Alize Johnson,SAS,4,1,3,7.4,11.5,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.5,50.0,0.0,0.0,0.3,25.0,0.0,0.0
14,Alondes Williams,BKN,1,1,0,5.3,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,51,10,41,28.3,53.7,7.4,2.5,4.2,59.3,0.5,0.7,70.6,5.7,77.0,2.0,26.7,0.6,8.2,0.4,5.8,0.3,3.4
16,Amir Coffey,LAC,39,20,19,14.6,15.8,0.3,0.1,0.1,50.0,0.0,0.0,0.0,0.1,33.3,0.2,50.0,0.0,8.3,0.0,0.0,0.0,0.0
17,Andre Drummond,CHI,43,19,24,12.9,18.6,4.7,2.0,3.1,64.4,0.4,1.0,40.5,4.5,95.6,0.7,13.7,0.2,3.4,0.3,6.4,0.5,10.3
18,Andre Iguodala,GSW,2,0,2,12.3,21.0,1.0,0.5,0.5,100.0,0.0,0.0,0.0,1.0,100.0,0.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Andrew Nembhard,IND,51,22,29,27.3,44.6,0.7,0.2,0.3,57.1,0.0,0.0,0.0,0.3,50.0,0.4,52.9,0.1,11.8,0.0,5.9,0.0,0.0
20,Andrew Wiggins,GSW,35,17,18,32.1,45.8,3.2,1.5,2.3,62.2,0.2,0.3,50.0,3.2,98.2,0.6,17.7,0.1,3.5,0.0,0.9,0.1,4.4
21,Anfernee Simons,POR,54,26,28,35.9,69.7,0.6,0.3,0.4,68.2,0.0,0.0,0.0,0.6,93.8,0.2,28.1,0.0,3.1,0.0,3.1,0.0,0.0
22,Anthony Davis,LAL,33,15,18,33.5,68.1,11.4,5.4,7.6,70.2,2.7,3.2,84.9,13.7,120.5,1.2,10.1,0.2,1.6,0.5,4.0,1.5,12.8
23,Anthony Edwards,MIN,59,30,29,36.2,72.9,1.0,0.4,0.5,74.2,0.0,0.1,50.0,0.8,87.7,0.3,33.3,0.0,3.5,0.0,3.5,0.0,3.5
24,Anthony Gill,WAS,39,16,23,10.2,10.2,1.2,0.7,0.9,82.4,0.1,0.1,75.0,1.5,130.4,0.2,17.4,0.0,0.0,0.0,0.0,0.0,2.2
25,Anthony Lamb,GSW,41,22,19,19.2,32.5,1.8,0.5,0.8,64.5,0.1,0.1,75.0,1.0,58.1,0.9,48.6,0.2,12.2,0.1,4.1,0.0,2.7
26,Austin Reaves,LAL,39,18,21,28.1,35.6,1.1,0.3,0.4,58.8,0.2,0.2,100.0,0.7,64.3,0.5,47.6,0.1,9.5,0.0,2.4,0.1,7.1
27,Austin Rivers,MIN,44,22,22,21.1,24.9,0.1,0.0,0.1,50.0,0.0,0.0,0.0,0.1,66.7,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0
28,Ayo Dosunmu,CHI,53,25,28,28.0,48.1,0.8,0.3,0.5,64.3,0.1,0.1,100.0,0.8,102.4,0.2,19.5,0.0,2.4,0.0,4.9,0.0,4.9
29,Bam Adebayo,MIA,52,29,23,35.3,64.8,8.1,3.3,5.3,62.0,0.9,1.1,81.0,7.6,93.1,1.7,20.8,0.2,2.4,0.3,3.8,0.6,6.9
30,Ben Simmons,BKN,40,23,17,26.8,62.3,4.1,1.7,2.4,71.3,0.1,0.3,30.0,3.5,84.8,1.4,33.5,0.3,7.9,0.2,4.3,0.1,3.0
31,Bennedict Mathurin,IND,58,25,33,28.2,42.4,1.9,0.7,1.2,63.2,0.3,0.4,83.3,1.9,100.0,0.3,16.4,0.0,0.0,0.1,2.7,0.2,10.9
32,Bismack Biyombo,PHX,45,25,20,14.0,22.9,4.5,1.4,2.3,60.2,0.2,0.7,32.3,3.0,66.8,1.4,31.7,0.2,3.5,0.2,5.4,0.3,6.4
33,Blake Griffin,BOS,24,16,8,13.4,19.0,2.0,0.8,1.0,75.0,0.2,0.3,50.0,1.7,85.4,0.7,35.4,0.1,6.3,0.0,2.1,0.2,8.3
34,Blake Wesley,SAS,12,2,10,12.8,26.0,0.6,0.1,0.3,33.3,0.2,0.3,50.0,0.3,57.1,0.2,28.6,0.0,0.0,0.0,0.0,0.1,14.3
35,Boban Marjanovic,HOU,17,1,16,4.2,5.6,1.1,0.6,0.7,91.7,0.3,0.4,83.3,1.6,147.4,0.1,5.3,0.0,0.0,0.1,5.3,0.2,15.8
36,Bobby Portis,MIL,47,30,17,26.8,52.6,4.6,1.9,3.0,62.4,0.3,0.3,87.5,4.1,88.9,1.1,23.6,0.2,3.7,0.2,3.7,0.2,3.7
37,Bogdan Bogdanovic,ATL,32,16,16,30.0,43.2,0.6,0.1,0.3,37.5,0.1,0.1,100.0,0.3,42.1,0.3,52.6,0.1,15.8,0.0,0.0,0.0,5.3
38,Bojan Bogdanovic,DET,53,15,38,31.9,46.5,0.8,0.3,0.6,46.9,0.1,0.2,87.5,0.7,88.4,0.1,11.6,0.0,2.3,0.0,2.3,0.1,7.0
39,Bol Bol,ORL,52,20,32,23.5,25.1,2.2,1.4,1.7,83.3,0.1,0.2,58.3,3.1,142.9,0.1,6.3,0.0,1.8,0.1,5.4,0.1,4.5
40,Bones Hyland,LAC,42,28,14,19.5,47.1,0.3,0.0,0.1,40.0,0.0,0.0,100.0,0.1,42.9,0.1,42.9,0.0,0.0,0.0,7.1,0.0,7.1
41,Bradley Beal,WAS,33,18,15,32.7,66.4,1.8,0.7,1.1,65.7,0.2,0.3,80.0,1.7,95.0,0.5,28.3,0.1,6.7,0.1,3.3,0.2,8.3
42,Brandon Boston Jr.,LAC,20,7,13,12.2,21.1,0.5,0.1,0.4,28.6,0.1,0.1,50.0,0.3,50.0,0.1,10.0,0.1,10.0,0.0,0.0,0.1,10.0
43,Brandon Clarke,MEM,49,28,21,19.7,29.1,5.5,2.6,3.6,71.4,0.9,1.2,75.9,6.2,113.8,1.0,17.5,0.2,4.1,0.1,2.6,0.6,10.4
44,Brandon Ingram,NOP,22,11,11,32.1,64.4,0.7,0.2,0.4,55.6,0.0,0.0,0.0,0.5,62.5,0.2,31.3,0.0,0.0,0.0,0.0,0.0,0.0
45,Braxton Key,DET,3,0,3,3.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Brook Lopez,MIL,55,38,17,30.4,33.9,5.3,2.3,3.4,67.2,0.8,1.1,79.3,5.6,105.5,0.9,16.8,0.1,2.7,0.3,5.8,0.5,8.9
47,Bruce Brown,DEN,56,39,17,28.7,53.0,1.7,0.6,0.9,64.7,0.3,0.3,82.4,1.4,84.4,0.6,34.4,0.2,9.4,0.0,2.1,0.1,8.3
48,Bruno Fernando,ATL,31,9,22,11.7,21.1,3.8,1.3,2.2,58.2,0.6,0.8,75.0,3.1,81.5,1.0,25.2,0.3,7.6,0.2,5.0,0.4,10.1
49,Bryce McGowens,CHA,24,6,18,14.1,15.0,0.6,0.2,0.3,62.5,0.0,0.0,0.0,0.4,71.4,0.2,35.7,0.0,0.0,0.0,0.0,0.0,0.0
50,Bryn Forbes,MIN,25,9,16,10.7,11.9,0.1,0.0,0.0,100.0,0.0,0.0,0.0,0.1,100.0,0.0,33.3,0.0,0.0,0.0,33.3,0.0,0.0
51,Buddy Boeheim,DET,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Buddy Hield,IND,58,25,33,32.1,60.1,0.8,0.3,0.4,69.6,0.0,0.1,66.7,0.6,78.7,0.3,42.6,0.1,6.4,0.0,2.1,0.0,2.1
53,CJ McCollum,NOP,51,26,25,35.0,75.4,0.5,0.2,0.3,50.0,0.0,0.0,0.0,0.3,59.3,0.1,25.9,0.1,11.1,0.0,7.4,0.0,0.0
54,Cade Cunningham,DET,12,3,9,33.3,78.3,0.9,0.3,0.4,60.0,0.3,0.3,100.0,0.8,90.9,0.3,27.3,0.1,9.1,0.1,9.1,0.2,18.2
