,PLAYER,TEAM,GP,W,L,MIN,Passes Made,Passes Received,AST,Secondary AST,Potential AST,AST PTS Created,AST PTS Created.1,AST Adj,AST To Pass%,AST To Pass% Adj
0,A.J. Lawson,DAL,13,5,8,4.8,2.7,3.3,0.1,0.1,0.3,0.2,0.2,2.9,5.7,
1,AJ Green,MIL,27,21,6,9.8,7.9,9.0,0.6,0.1,1.3,1.6,0.7,7.5,9.4,
2,AJ Griffin,ATL,56,26,30,20.4,13.1,15.3,1.0,0.1,1.8,2.6,1.2,7.8,9.0,
3,Aaron Gordon,DEN,49,35,14,30.3,26.6,27.9,2.9,0.4,4.2,7.1,3.4,10.8,12.9,
4,Aaron Holiday,ATL,51,27,24,14.3,15.4,16.4,1.3,0.1,2.9,3.4,1.6,8.3,10.6,
5,Aaron Nesmith,IND,54,22,32,24.7,24.1,20.1,1.2,0.2,2.0,3.3,1.5,5.1,6.4,
6,Aaron Wiggins,OKC,47,25,22,18.4,14.8,13.8,1.3,0.2,2.3,3.6,1.7,9.1,11.4,
7,Admiral Schofield,ORL,27,11,16,13.0,15.9,10.0,0.9,0.0,1.4,2.4,0.9,5.4,5.8,
8,Al Horford,BOS,46,33,13,30.7,37.6,28.0,2.7,0.4,4.7,7.5,3.4,7.2,9.0,
9,Alec Burks,DET,46,12,34,22.0,21.7,24.9,2.2,0.2,3.6,5.3,2.4,10.0,11.2,
10,Aleksej Pokusevski,OKC,31,15,16,21.9,33.9,26.4,2.0,0.2,3.7,5.0,2.3,5.9,6.7,
11,Alex Caruso,CHI,49,20,29,24.2,38.4,29.8,3.2,0.4,5.1,8.4,4.1,8.3,10.6,
12,Alex Len,SAC,14,9,5,3.4,4.9,3.1,0.4,0.0,0.6,0.9,0.4,7.4,7.4,
13,Alize Johnson,SAS,4,1,3,7.4,8.8,5.8,0.3,0.0,1.3,0.8,0.3,2.9,2.9,
14,Alondes Williams,BKN,1,1,0,5.3,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15,Alperen Sengun,HOU,54,10,44,28.2,37.4,35.6,3.7,0.3,6.6,9.6,4.6,10.0,12.2,
16,Amir Coffey,LAC,40,21,19,14.3,10.6,11.8,1.2,0.1,2.2,3.1,1.5,11.5,14.4,
17,Andre Drummond,CHI,47,20,27,13.0,11.9,9.7,0.6,0.0,0.9,1.3,0.6,4.8,5.0,
18,Andre Iguodala,GSW,2,0,2,12.3,19.5,11.5,2.0,0.5,3.0,5.0,2.5,10.3,12.8,
19,Andrew Nembhard,IND,54,23,31,27.0,32.6,35.5,4.1,0.3,8.0,10.8,5.0,12.5,15.3,
20,Andrew Wiggins,GSW,36,18,18,32.3,28.8,33.3,2.3,0.6,4.8,6.3,3.1,8.0,10.9,
21,Anfernee Simons,POR,56,27,29,35.5,46.9,58.9,4.2,1.0,7.4,10.7,5.6,8.9,11.8,
22,Anthony Davis,LAL,36,17,19,33.2,44.1,36.9,2.5,0.2,4.1,6.0,2.7,5.6,6.2,
23,Anthony Edwards,MIN,62,31,31,36.3,46.2,54.9,4.5,0.8,8.0,11.5,5.5,9.7,12.0,
24,Anthony Gill,WAS,41,17,24,10.0,7.2,6.2,0.5,0.0,0.9,1.4,0.6,6.8,8.1,
25,Anthony Lamb,GSW,44,23,21,19.5,26.0,19.2,1.7,0.2,3.6,5.0,2.2,6.6,8.4,
26,Austin Reaves,LAL,42,20,22,27.7,25.0,23.2,2.2,0.2,4.5,5.5,2.6,8.9,10.6,
27,Austin Rivers,MIN,47,23,24,20.7,18.6,19.2,1.5,0.3,2.5,4.0,1.9,8.2,10.4,
28,Ayo Dosunmu,CHI,57,26,31,28.4,37.8,37.5,2.9,0.5,5.3,6.9,3.6,7.6,9.4,
29,Bam Adebayo,MIA,55,29,26,35.2,42.5,43.8,3.2,0.4,5.9,8.4,3.8,7.6,9.0,
30,Ben Simmons,BKN,42,24,18,26.3,52.2,42.3,6.1,0.6,9.5,15.5,7.0,11.7,13.4,
31,Bennedict Mathurin,IND,61,26,35,28.2,23.9,31.1,1.5,0.2,2.8,4.0,1.9,6.1,8.0,
32,Bismack Biyombo,PHX,46,25,21,14.0,18.6,13.0,0.9,0.1,1.5,2.2,1.0,5.0,5.5,
33,Blake Griffin,BOS,26,17,9,14.4,16.3,12.7,1.3,0.1,2.0,3.5,1.4,7.8,8.5,
34,Blake Wesley,SAS,15,2,13,14.0,20.6,22.3,1.5,0.6,3.3,4.0,2.2,7.1,10.7,
35,Boban Marjanovic,HOU,19,1,18,4.4,3.3,3.5,0.2,0.0,0.2,0.5,0.2,6.3,6.3,
36,Bobby Portis,MIL,48,31,17,26.7,37.7,24.9,1.8,0.2,3.2,4.8,2.1,4.8,5.7,
37,Bogdan Bogdanovic,ATL,35,17,18,29.6,27.3,30.0,3.0,0.3,5.1,7.4,3.5,11.0,13.0,
38,Bojan Bogdanovic,DET,56,15,41,32.0,26.2,34.6,2.6,0.4,5.6,7.0,3.3,9.9,12.6,
39,Bol Bol,ORL,55,22,33,23.0,14.2,13.9,0.9,0.1,1.7,2.2,1.0,6.0,7.2,
40,Bones Hyland,LAC,44,30,14,19.4,32.4,38.5,2.9,0.5,5.3,7.3,3.8,9.0,11.7,
41,Bradley Beal,WAS,37,20,17,32.9,42.4,55.6,5.2,0.8,11.2,14.5,6.9,12.4,16.3,
42,Brandon Boston Jr.,LAC,21,8,13,11.7,12.8,14.3,0.9,0.2,2.1,2.1,1.0,7.1,8.2,
43,Brandon Clarke,MEM,52,29,23,19.9,20.5,18.4,1.3,0.2,2.5,3.4,1.6,6.3,8.0,
44,Brandon Ingram,NOP,25,12,13,32.3,38.6,52.9,4.8,0.5,9.8,13.2,6.0,12.4,15.5,
45,Braxton Key,DET,3,0,3,3.0,2.7,1.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,
46,Brook Lopez,MIL,58,41,17,30.3,20.6,21.9,1.2,0.2,2.2,3.3,1.5,5.9,7.3,
47,Bruce Brown,DEN,59,42,17,28.7,40.3,39.2,3.6,0.6,5.4,8.8,4.3,9.0,10.6,
48,Bruno Fernando,ATL,33,10,23,11.2,15.8,10.8,0.9,0.1,1.6,2.5,1.1,6.0,6.9,
49,Bryce McGowens,CHA,26,8,18,14.7,10.5,10.2,1.0,0.1,1.6,2.4,1.2,9.9,11.8,
