,PLAYER,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed,Avg Speed Off,Avg Speed Def
0,A.J. Lawson,DAL,12,5,7,4.2,1794.6,0.34,0.18,0.16,4.48,4.64,4.33
1,AJ Green,MIL,25,19,6,8.8,3644.0,0.69,0.38,0.31,4.36,4.76,3.9
2,AJ Griffin,ATL,53,25,28,20.6,8821.0,1.67,0.9,0.77,4.54,4.92,4.17
3,Aaron Gordon,DEN,49,35,14,30.3,11395.5,2.16,1.13,1.03,4.01,4.24,3.79
4,Aaron Holiday,ATL,49,26,23,14.7,5938.4,1.12,0.57,0.55,4.28,4.37,4.19
5,Aaron Nesmith,IND,51,21,30,24.3,10037.5,1.9,0.98,0.92,4.4,4.68,4.15
6,Aaron Wiggins,OKC,44,24,20,18.7,8029.6,1.52,0.8,0.72,4.56,4.97,4.17
7,Admiral Schofield,ORL,27,11,16,13.0,5277.7,1.0,0.54,0.46,4.31,4.56,4.06
8,Al Horford,BOS,43,30,13,30.8,11389.0,2.16,1.14,1.02,3.95,4.22,3.69
9,Alec Burks,DET,43,12,31,22.0,8375.5,1.59,0.84,0.75,4.03,4.24,3.82
10,Aleksej Pokusevski,OKC,31,15,16,21.9,8825.7,1.67,0.93,0.74,4.31,4.96,3.71
11,Alex Caruso,CHI,47,19,28,24.2,9985.3,1.89,0.99,0.9,4.35,4.75,3.98
12,Alex Len,SAC,13,8,5,3.5,1413.5,0.27,0.15,0.12,4.21,4.45,3.72
13,Alize Johnson,SAS,4,1,3,7.4,3226.5,0.61,0.34,0.27,4.52,5.03,4.03
14,Alondes Williams,BKN,1,1,0,5.3,2184.0,0.41,0.23,0.18,4.27,3.78,4.91
15,Alperen Sengun,HOU,51,10,41,28.3,10274.6,1.95,1.04,0.91,3.87,3.96,3.76
16,Amir Coffey,LAC,39,20,19,14.6,5572.4,1.06,0.55,0.51,4.04,4.14,3.93
17,Andre Drummond,CHI,43,19,24,12.9,5007.8,0.95,0.48,0.47,4.08,4.29,3.89
18,Andre Iguodala,GSW,2,0,2,12.3,4895.0,0.93,0.52,0.4,4.39,4.82,3.55
19,Andrew Nembhard,IND,51,22,29,27.3,11179.6,2.12,1.09,1.02,4.34,4.63,4.07
20,Andrew Wiggins,GSW,35,17,18,32.1,12258.9,2.32,1.21,1.11,4.07,4.38,3.77
21,Anfernee Simons,POR,54,26,28,35.9,13940.3,2.64,1.47,1.17,4.13,4.51,3.73
22,Anthony Davis,LAL,33,15,18,33.5,11854.2,2.25,1.19,1.05,3.78,4.04,3.53
23,Anthony Edwards,MIN,59,30,29,36.2,13550.3,2.57,1.36,1.21,3.96,4.29,3.65
24,Anthony Gill,WAS,39,16,23,10.2,4120.5,0.78,0.42,0.36,4.25,4.61,3.89
25,Anthony Lamb,GSW,41,22,19,19.2,7976.8,1.51,0.84,0.67,4.38,4.96,3.82
26,Austin Reaves,LAL,39,18,21,28.1,11050.4,2.09,1.13,0.96,4.19,4.5,3.87
