,Player,Team,GP,MIN,W,L,STL,BLK,DREB,DFGM,DFGA,DFG%
0,A.J. Lawson,DAL,12,4.2,5,7,0.0,0.0,0.6,0.3,0.3,100.0
1,AJ Green,MIL,25,8.9,19,6,0.2,0.0,0.9,0.8,1.0,79.2
2,AJ Griffin,ATL,54,20.5,25,29,0.7,0.1,1.6,1.6,2.1,77.2
3,Aaron Gordon,DEN,49,30.3,35,14,0.8,0.8,4.4,1.9,3.2,60.0
4,Aaron Holiday,ATL,49,14.6,26,23,0.6,0.2,0.9,0.8,1.0,76.0
5,Aaron Nesmith,IND,52,24.4,21,31,0.8,0.4,2.9,1.6,2.6,62.0
6,Aaron Wiggins,OKC,45,18.6,24,21,0.5,0.2,2.2,1.3,2.2,59.2
7,Admiral Schofield,ORL,27,13.0,11,16,0.2,0.1,1.2,1.2,1.6,76.2
8,Al Horford,BOS,44,30.7,31,13,0.5,0.9,5.0,2.5,4.6,54.2
9,Alec Burks,DET,44,22.2,12,32,0.8,0.1,2.6,1.8,2.5,71.4
10,Aleksej Pokusevski,OKC,31,21.9,15,16,0.6,1.3,3.6,3.5,5.7,61.0
11,Alex Caruso,CHI,47,24.2,19,28,1.6,0.6,2.6,1.3,2.1,62.6
12,Alex Len,SAC,13,3.5,8,5,0.0,0.0,0.8,0.4,0.7,55.6
13,Alize Johnson,SAS,4,7.4,1,3,0.3,0.0,2.0,0.0,1.8,0.0
14,Alondes Williams,BKN,1,5.3,1,0,0.0,0.0,1.0,0.0,0.0,0.0
15,Alperen Sengun,HOU,52,28.4,10,42,0.9,1.0,5.6,3.9,6.1,64.4
16,Amir Coffey,LAC,40,14.3,21,19,0.2,0.1,0.9,0.7,1.0,69.2
17,Andre Drummond,CHI,44,13.0,19,25,0.6,0.3,4.6,1.5,2.2,66.3
18,Andre Iguodala,GSW,2,12.3,0,2,0.0,0.0,1.0,1.0,1.5,66.7
19,Andrew Nembhard,IND,52,27.2,22,30,1.0,0.2,2.3,1.3,2.1,64.2
20,Andrew Wiggins,GSW,36,32.3,18,18,1.2,0.7,3.4,2.2,3.1,69.6
21,Anfernee Simons,POR,56,35.5,27,29,0.7,0.2,2.4,2.4,3.2,73.9
22,Anthony Davis,LAL,34,33.5,15,19,1.2,2.0,9.1,4.0,6.9,58.3
23,Anthony Edwards,MIN,60,36.2,31,29,1.6,0.6,5.3,2.2,3.0,72.5
24,Anthony Gill,WAS,41,10.0,17,24,0.1,0.2,0.9,0.7,1.1,63.8
25,Anthony Lamb,GSW,42,19.3,22,20,0.5,0.2,2.5,2.4,3.5,68.5
26,Austin Reaves,LAL,40,28.0,18,22,0.5,0.4,2.4,1.8,2.4,76.6
27,Austin Rivers,MIN,45,21.1,23,22,0.6,0.1,1.7,0.8,1.0,78.7
28,Ayo Dosunmu,CHI,54,28.1,25,29,0.7,0.4,2.4,1.6,2.4,65.2
29,Bam Adebayo,MIA,53,35.3,29,24,1.2,0.8,7.2,2.7,4.2,62.9
30,Ben Simmons,BKN,41,26.5,23,18,1.3,0.6,5.3,1.8,3.1,57.5
31,Bennedict Mathurin,IND,59,28.3,25,34,0.6,0.1,3.0,1.7,2.5,69.6
32,Bismack Biyombo,PHX,45,14.0,25,20,0.3,1.3,2.9,1.6,3.6,43.9
33,Blake Griffin,BOS,25,13.8,16,9,0.3,0.2,2.5,1.2,1.7,73.8
34,Blake Wesley,SAS,13,13.3,2,11,0.3,0.1,1.3,0.8,1.1,78.6
35,Boban Marjanovic,HOU,18,4.2,1,17,0.1,0.1,1.0,0.4,0.5,77.8
36,Bobby Portis,MIL,47,26.8,30,17,0.5,0.2,7.5,2.4,3.4,70.4
37,Bogdan Bogdanovic,ATL,33,30.0,16,17,0.8,0.3,2.9,1.9,2.6,74.4
38,Bojan Bogdanovic,DET,54,32.0,15,39,0.6,0.1,3.1,1.9,2.6,76.1
39,Bol Bol,ORL,54,23.2,21,33,0.4,1.3,5.1,2.0,3.0,67.1
40,Bones Hyland,LAC,43,19.4,29,14,0.7,0.3,1.8,1.6,1.9,83.8
41,Bradley Beal,WAS,35,32.8,19,16,0.8,0.7,2.6,1.4,2.0,70.4
42,Brandon Boston Jr.,LAC,21,11.7,8,13,0.4,0.0,1.0,0.9,1.2,69.2
43,Brandon Clarke,MEM,50,19.8,28,22,0.6,0.7,3.9,1.7,3.1,54.8
44,Brandon Ingram,NOP,23,32.1,12,11,0.8,0.5,4.5,1.5,2.3,63.0
45,Braxton Key,DET,3,3.0,0,3,0.0,0.0,0.3,0.0,0.0,0.0
46,Brook Lopez,MIL,56,30.3,39,17,0.5,2.4,4.6,4.0,7.8,51.7
