,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,eFG%
0,A.J. Lawson,DAL,12,4.2,1.3,0.4,1.0,41.7,0.4,1.0,41.7,62.5
1,AJ Green,MIL,25,8.9,2.9,1.0,2.1,45.3,1.0,2.1,45.3,67.9
2,AJ Griffin,ATL,52,20.6,3.7,1.3,3.2,39.2,1.2,3.1,37.7,57.2
3,Aaron Gordon,DEN,49,30.3,1.9,0.7,1.8,36.8,0.6,1.5,37.3,52.9
4,Aaron Holiday,ATL,48,14.9,1.6,0.5,1.2,43.1,0.5,1.2,43.1,64.7
5,Aaron Nesmith,IND,50,24.2,3.8,1.3,3.7,34.4,1.2,3.6,34.1,51.1
6,Aaron Wiggins,OKC,44,18.7,2.0,0.7,1.7,39.2,0.7,1.7,39.7,58.8
7,Admiral Schofield,ORL,27,13.0,2.0,0.7,1.9,36.0,0.7,1.9,36.0,54.0
8,Al Horford,BOS,43,30.8,5.9,2.0,4.9,40.5,2.0,4.7,41.6,60.5
9,Alec Burks,DET,44,22.0,3.1,1.0,2.3,44.7,1.0,2.3,45.0,66.5
10,Aleksej Pokusevski,OKC,31,21.9,3.8,1.3,3.3,38.8,1.2,3.1,38.5,56.8
11,Alex Caruso,CHI,47,24.3,2.4,0.8,2.0,40.4,0.8,1.9,40.0,59.6
12,Alex Len,SAC,13,3.5,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
13,Alize Johnson,SAS,4,7.4,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0
14,Alondes Williams,BKN,1,5.3,0.0,0.0,0.0,-,-,-,-,-
15,Alperen Sengun,HOU,51,28.3,0.8,0.3,0.9,35.6,0.2,0.5,37.0,46.7
16,Amir Coffey,LAC,39,14.6,0.7,0.3,0.8,32.3,0.2,0.7,31.0,46.8
17,Andre Drummond,CHI,42,13.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
18,Andre Iguodala,GSW,3,14.1,0.0,0.0,0.0,-,-,-,-,-
19,Andrew Nembhard,IND,50,27.4,2.9,1.0,2.8,35.0,0.9,2.7,34.3,51.4
20,Andrew Wiggins,GSW,35,32.0,6.6,2.2,5.2,43.1,2.1,5.0,42.9,63.8
21,Anfernee Simons,POR,54,35.9,6.2,2.1,5.2,39.7,2.1,5.2,39.6,59.4
22,Anthony Davis,LAL,32,33.5,2.0,0.8,2.6,31.7,0.4,1.3,30.2,39.6
23,Anthony Edwards,MIN,59,36.2,3.4,1.1,2.7,42.7,1.1,2.5,42.7,63.1
24,Anthony Gill,WAS,38,10.4,0.3,0.1,0.4,25.0,0.1,0.4,20.0,34.4
25,Anthony Lamb,GSW,42,19.3,3.6,1.2,3.1,40.3,1.2,3.0,39.2,59.3
26,Austin Reaves,LAL,38,28.2,3.2,1.1,2.9,38.5,1.0,2.8,37.1,56.4
27,Austin Rivers,MIN,44,21.1,2.3,0.8,2.0,37.8,0.8,2.0,37.8,56.7
28,Ayo Dosunmu,CHI,53,27.9,2.5,0.8,2.6,33.1,0.8,2.5,32.3,48.9
29,Bam Adebayo,MIA,51,35.2,1.9,0.9,2.1,44.8,0.0,0.2,12.5,45.2
30,Ben Simmons,BKN,39,27.1,0.1,0.1,0.1,40.0,0.0,0.0,-,40.0
31,Bennedict Mathurin,IND,57,28.2,2.3,0.8,2.6,29.3,0.7,2.4,29.5,43.0
32,Bismack Biyombo,PHX,45,14.0,0.1,0.1,0.2,33.3,-,-,-,33.3
33,Blake Griffin,BOS,24,13.4,1.9,0.6,1.5,42.9,0.6,1.4,44.1,64.3
34,Blake Wesley,SAS,12,12.9,1.8,0.6,1.2,50.0,0.6,1.2,50.0,75.0
35,Boban Marjanovic,HOU,17,4.2,0.1,0.1,0.1,50.0,0.0,0.1,0.0,50.0
36,Bobby Portis,MIL,47,26.8,4.4,1.6,4.1,39.6,1.2,3.4,35.2,54.4
37,Bogdan Bogdanovic,ATL,31,30.1,6.0,2.1,5.6,37.6,1.8,5.1,35.7,53.8
38,Bojan Bogdanovic,DET,54,32.0,5.7,2.0,4.1,47.5,1.8,3.9,45.8,69.3
39,Bol Bol,ORL,51,23.6,1.1,0.4,1.1,33.3,0.3,1.0,31.4,47.4
40,Bones Hyland,LAC,42,19.5,3.0,1.0,2.7,37.5,1.0,2.6,38.2,56.3
41,Bradley Beal,WAS,32,32.8,3.5,1.3,3.0,42.7,1.0,2.4,39.7,58.9
42,Brandon Boston Jr.,LAC,20,12.2,0.8,0.3,0.8,31.3,0.3,0.7,35.7,46.9
43,Brandon Clarke,MEM,49,19.7,0.9,0.4,0.9,50.0,0.0,0.1,16.7,51.1
44,Brandon Ingram,NOP,22,32.1,3.7,1.3,3.2,40.8,1.1,2.7,40.7,57.7
45,Braxton Key,DET,3,3.0,0.0,0.0,0.0,-,-,-,-,-
46,Brook Lopez,MIL,55,30.4,5.5,1.9,5.0,38.5,1.7,4.4,39.1,55.9
47,Bruce Brown,DEN,55,28.7,3.5,1.2,3.0,39.6,1.2,2.9,40.4,59.5
48,Bruno Fernando,ATL,31,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Bryce McGowens,CHA,23,14.2,1.0,0.3,1.0,36.4,0.3,0.9,38.1,54.5
50,Bryn Forbes,MIN,25,10.7,1.2,0.4,1.4,29.4,0.4,1.3,31.3,44.1
51,Buddy Boeheim,DET,1,1.0,0.0,0.0,0.0,-,-,-,-,-
52,Buddy Hield,IND,57,32.2,8.2,2.8,6.4,42.8,2.7,6.4,43.0,64.0
53,CJ McCollum,NOP,51,35.0,4.9,1.6,4.3,38.0,1.6,4.1,39.6,56.6
54,Cade Cunningham,DET,12,33.3,2.4,0.8,2.7,31.3,0.8,2.3,33.3,45.3
55,Caleb Houstan,ORL,32,16.4,2.8,1.0,2.6,37.3,0.9,2.4,37.2,54.8
56,Caleb Martin,MIA,46,30.4,3.3,1.2,3.3,35.5,1.0,2.9,34.1,50.3
57,Cam Reddish,POR,21,21.7,2.3,0.8,2.5,32.1,0.7,2.4,30.0,46.2
58,Cam Thomas,BKN,38,16.3,1.1,0.4,0.7,51.9,0.3,0.7,48.0,74.1
59,Cameron Johnson,BKN,17,25.3,7.2,2.4,5.3,45.6,2.4,5.1,46.5,67.8
60,Cameron Payne,PHX,28,24.0,2.8,0.9,2.7,34.2,0.9,2.7,34.2,51.3
61,Caris LeVert,CLE,52,30.8,3.1,1.0,2.7,38.6,1.0,2.7,38.6,57.9
62,Carlik Jones,CHI,1,1.1,0.0,0.0,0.0,-,-,-,-,-
63,Cedi Osman,CLE,56,21.3,3.4,1.2,3.3,34.8,1.1,3.3,34.2,51.6
64,Charles Bassey,SAS,24,13.6,0.4,0.2,0.4,40.0,0.0,0.2,25.0,45.0
65,Chima Moneke,SAC,2,4.0,0.0,0.0,0.0,-,-,-,-,-
66,Chimezie Metu,SAC,42,10.9,0.6,0.2,0.7,29.0,0.2,0.7,28.6,41.9
67,Chris Boucher,TOR,51,20.8,2.6,0.9,2.6,33.8,0.8,2.5,33.6,49.6
68,Chris Duarte,IND,34,19.3,1.8,0.6,2.1,28.8,0.6,2.1,28.2,42.5
69,Chris Paul,PHX,37,31.8,2.1,0.7,1.3,53.1,0.7,1.3,53.2,78.6
70,Chris Silva,DAL,1,3.0,0.0,0.0,0.0,-,-,-,-,-
71,Christian Braun,DEN,51,14.8,1.0,0.3,1.0,33.3,0.3,0.9,34.0,49.0
72,Christian Koloko,TOR,45,14.6,0.2,0.1,0.3,21.4,0.0,0.2,12.5,25.0
73,Christian Wood,DAL,45,28.1,4.8,1.6,3.8,42.6,1.6,3.6,43.5,63.3
74,Chuma Okeke,ORL,18,21.8,2.8,0.9,3.1,30.9,0.9,3.1,30.9,46.4
75,Clint Capela,ATL,40,26.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Coby White,CHI,47,21.7,4.2,1.4,3.8,36.7,1.4,3.8,36.3,54.7
77,Cody Martin,CHA,7,19.1,1.6,0.6,1.4,40.0,0.4,1.3,33.3,55.0
78,Cole Anthony,ORL,38,25.2,2.2,0.7,2.3,31.8,0.7,2.3,31.0,47.2
79,Cole Swider,LAL,6,6.7,1.5,0.5,1.0,50.0,0.5,1.0,50.0,75.0
80,Collin Sexton,UTA,44,24.2,1.9,0.6,1.6,38.9,0.6,1.6,37.7,56.9
81,Corey Kispert,WAS,46,27.4,5.3,1.8,4.3,41.5,1.7,4.2,41.2,61.5
82,Cory Joseph,DET,38,15.8,1.1,0.4,1.2,31.1,0.4,1.2,31.1,46.7
83,D'Angelo Russell,LAL,54,32.9,4.7,1.6,4.1,39.4,1.5,3.9,38.5,57.9
84,Daishen Nix,HOU,41,15.5,1.3,0.4,1.6,26.9,0.4,1.6,27.3,40.3
85,Dalano Banton,TOR,24,9.7,1.4,0.5,1.4,32.4,0.5,1.4,33.3,48.5
86,Dalen Terry,CHI,20,3.2,0.2,0.1,0.2,25.0,0.1,0.2,25.0,37.5
87,Damian Jones,UTA,22,8.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0
88,Damian Lillard,POR,44,36.2,4.4,1.5,4.0,37.1,1.4,3.9,35.7,54.2
89,Damion Lee,PHX,58,22.3,5.0,1.7,3.7,46.2,1.6,3.5,46.6,68.6
90,Daniel Gafford,WAS,52,18.4,0.0,0.0,0.1,20.0,-,-,-,20.0
